"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []"
4.224,0.986066079800959,-0.115203562527579
4.225,0.986064132207029,-0.115232114524859
4.226,0.986062179726424,-0.11526064887555
4.227,0.986060222374747,-0.115289165671308
4.228,0.986058260157908,-0.115317664971851
4.229,0.986056293057178,-0.115346147049141
4.23,0.986054321163806,-0.115374611492426
4.231,0.986052344434527,-0.115403058711556
4.232,0.986050362952281,-0.115431488278476
4.233,0.98604837665716,-0.115459900763595
4.234,0.986046385633125,-0.115488295733781
4.235,0.986044389883555,-0.11551667331661
4.236,0.986042389425407,-0.115545033587994
4.237,0.986040384297028,-0.115573376368775
4.238,0.986038374442001,-0.115601702220483
4.239,0.986036359955467,-0.115630010681385
4.24,0.986034340839169,-0.115658301828999
4.241,0.986032317109238,-0.115686575718823
4.242,0.986030288787101,-0.115714832380366
4.243,0.986028255873694,-0.115743071903836
4.244,0.986026218408801,-0.115771294218936
4.245,0.986024176399396,-0.115799499385711
4.246,0.986022129872343,-0.115827687370097
4.247,0.986020078869789,-0.115855858058357
4.248,0.986018023336313,-0.11588401197035
4.249,0.986015963360489,-0.11591214862268
4.25,0.986013898951996,-0.115940268116887
4.251,0.986011830092674,-0.115968370694641
4.252,0.986009756834946,-0.115996456206403
4.253,0.986007679187893,-0.116024524668021
4.254,0.986005597168911,-0.116052576153226
4.255,0.986003510804471,-0.116080610587544
4.256,0.986001420094153,-0.116108628114626
4.257,0.985999325074289,-0.116136628703274
4.258,0.985997225750611,-0.116164612389171
4.259,0.985995122165894,-0.116192579045662
4.26,0.985993014310286,-0.116220528879493
4.261,0.985990902213908,-0.116248461815728
4.262,0.985988785888824,-0.11627637794972
4.263,0.985986665357697,-0.116304277273264
4.264,0.985984540673843,-0.116332159498204
4.265,0.985982411786954,-0.116360025173031
4.266,0.985980278744504,-0.116387874120442
4.267,0.985978141564376,-0.116415706345221
4.268,0.985976000287029,-0.116443521715928
4.269,0.985973854913079,-0.116471320344887
4.27,0.98597170544114,-0.1164991023871
4.271,0.985969551945652,-0.116526867541074
4.272,0.985967394383334,-0.116554616166036
4.273,0.985965232800283,-0.116582348062208
4.274,0.985963067245077,-0.116610063171799
4.275,0.985960897629599,-0.116637762108076
4.276,0.985958724073318,-0.116665444282374
4.277,0.985956546558574,-0.116693109923582
4.278,0.985954365123534,-0.116720758858292
4.279,0.98595217975274,-0.116748391421133
4.28,0.985949990508555,-0.116776007291273
4.281,0.985947797417152,-0.116803606375644
4.282,0.98594560034651,-0.116831189774004
4.283,0.985943399498,-0.116858756275876
4.284,0.985941194804376,-0.116886306417691
4.285,0.985938986329209,-0.116913839949212
4.286,0.985936774008146,-0.116941357391247
4.287,0.985934557931252,-0.116968858330215
4.288,0.985932338096882,-0.116996342875625
4.289,0.985930114513426,-0.117023811091607
4.29,0.985927887195419,-0.117051263080244
4.291,0.98592565618042,-0.117078698645459
4.292,0.985923421487746,-0.117106117880537
4.293,0.985921183097657,-0.117133520978274
4.294,0.985918941062325,-0.117160907770765
4.295,0.985916695364084,-0.117188278488114
4.296,0.985914446059675,-0.11721563286561
4.297,0.985912193143516,-0.117242971091804
4.298,0.985909936688364,-0.117270292853573
4.299,0.985907676573632,-0.117297598997544
4.3,0.985905412939923,-0.117324888809874
4.301,0.985903145754069,-0.117352162602035
4.302,0.985900875062783,-0.11737942016749
4.303,0.985898600897304,-0.117406661476396
4.304,0.985896323159838,-0.117433887278716
4.305,0.985894042042963,-0.117461096383616
4.306,0.985891757385405,-0.117488290136044
4.307,0.985889469330342,-0.117515467593363
4.308,0.985887177858169,-0.117542629041462
4.309,0.985884882946055,-0.117569774823236
4.31,0.98588258463602,-0.117596904702796
4.311,0.985880282991546,-0.117624018370245
4.312,0.985877977945205,-0.117651116479697
4.313,0.985875669620633,-0.117678198331708
4.314,0.985873357893382,-0.117705264787971
4.315,0.985871042905909,-0.117732315185028
4.316,0.98586872462252,-0.11775934977343
4.317,0.985866403043858,-0.117786368679944
4.318,0.985864078216725,-0.117813371786105
4.319,0.985861750149041,-0.117840359116836
4.32,0.985859418845944,-0.117867330723198
4.321,0.985857084333962,-0.11789428663573
4.322,0.985854746622136,-0.117921226909031
4.323,0.985852405692053,-0.117948151769395
4.324,0.98585006164003,-0.117975060687238
4.325,0.985847714418412,-0.118001954129188
4.326,0.985845364070549,-0.118028831941427
4.327,0.985843010595895,-0.11805569424448
4.328,0.985840654019729,-0.118082540957948
4.329,0.985838294370791,-0.118109372074159
4.33,0.985835931616947,-0.118136187824313
4.331,0.985833565822946,-0.118162988048372
4.332,0.985831196979853,-0.118189772805778
4.333,0.985828825127319,-0.118216542099424
4.334,0.985826450245976,-0.118243295989845
4.335,0.985824072377558,-0.11827003444002
4.336,0.98582169150691,-0.118296757706641
4.337,0.985819307709503,-0.118323465339291
4.338,0.98581692092144,-0.118350157819177
4.339,0.985814531212957,-0.118376835029369
4.34,0.985812138576329,-0.118403496942407
4.341,0.985809743051505,-0.118430143421951
4.342,0.985807344610717,-0.118456774873332
4.343,0.985804943308171,-0.118483390970392
4.344,0.985802539130109,-0.118509991947811
4.345,0.985800132111111,-0.118536577735573
4.346,0.985797722284821,-0.118563148210261
4.347,0.985795309614219,-0.118589703679181
4.348,0.985792894147281,-0.118616243962183
4.349,0.985790475890873,-0.118642769241477
4.35,0.985788054882661,-0.118669279262674
4.351,0.985785631079676,-0.11869577442339
4.352,0.985783204538459,-0.118722254559701
4.353,0.985780775220678,-0.118748719983727
4.354,0.985778343258303,-0.118775169931387
4.355,0.985775908569861,-0.118801605093653
4.356,0.98577347118722,-0.118828025308811
4.357,0.985771031108709,-0.118854430698639
4.358,0.985768588392268,-0.118880821171008
4.359,0.985766143013226,-0.118907196747442
4.36,0.9857636950174,-0.118933557496995
4.361,0.985761244397221,-0.118959903320138
4.362,0.985758791172121,-0.118986234448848
4.363,0.985756335334081,-0.119012550895573
4.364,0.985753876924087,-0.119038852521601
4.365,0.985751415958307,-0.119065139388932
4.366,0.98574895242362,-0.119091411597945
4.367,0.985746486384269,-0.119117668931547
4.368,0.985744017818241,-0.11914391161759
4.369,0.985741546710153,-0.119170139931582
4.37,0.985739073101964,-0.119196353537189
4.371,0.985736597027895,-0.119222552451088
4.372,0.985734118472548,-0.119248736859921
4.373,0.985731637463375,-0.11927490668567
4.374,0.985729154019301,-0.119301061858869
4.375,0.98572666812617,-0.119327202762443
4.376,0.985724179816677,-0.119353329070463
4.377,0.985721689106851,-0.119379440908283
4.378,0.985719195975113,-0.119405538463579
4.379,0.985716700470571,-0.119431621549203
4.38,0.985714202619318,-0.119457690146654
