"Freq [GHz]","dB(S(1,1)) []"
1.859,-6.88099508810324
1.86,-6.91571487185465
1.861,-6.95073664664475
1.862,-6.986064485943
1.863,-7.02170251186996
1.864,-7.05765489561713
1.865,-7.09392585787191
1.866,-7.13051966924796
1.867,-7.16744065072077
1.868,-7.20469317406892
1.869,-7.24228166232056
1.87,-7.28021059020583
1.871,-7.31848448461453
1.872,-7.35710792505985
1.873,-7.39608554414746
1.874,-7.43542202805054
1.875,-7.47512211699044
1.876,-7.51519060572292
1.877,-7.55563234403018
1.878,-7.59645223721822
1.879,-7.63765524661987
1.88,-7.67924639010281
1.881,-7.7212307425831
1.882,-7.76361343654323
1.883,-7.80639966255517
1.884,-7.84959466980749
1.885,-7.89320376663681
1.886,-7.93723232106257
1.887,-7.98168576132518
1.888,-8.02656957642676
1.889,-8.07188931667379
1.89,-8.1176505942212
1.891,-8.16385908361704
1.892,-8.21052052234691
1.893,-8.25764071137701
1.894,-8.30522551569492
1.895,-8.35328086484703
1.896,-8.40181275347071
1.897,-8.45082724182067
1.898,-8.50033045628679
1.899,-8.55032858990271
1.9,-8.60082790284213
1.901,-8.65183472290158
1.902,-8.70335544596645
1.903,-8.75539653645826
1.904,-8.80796452775977
1.905,-8.86106602261504
1.906,-8.91470769350079
1.907,-8.96889628296535
1.908,-9.02363860393082
1.909,-9.07894153995413
1.91,-9.13481204544168
1.911,-9.19125714581248
1.912,-9.24828393760347
1.913,-9.30589958851076
1.914,-9.36411133735963
1.915,-9.42292649399586
1.916,-9.48235243908921
1.917,-9.5423966238412
1.918,-9.60306656958595
1.919,-9.66436986727437
1.92,-9.72631417682899
1.921,-9.78890722635778
1.922,-9.85215681121192
1.923,-9.91607079287354
1.924,-9.98065709765615
1.925,-10.0459237152009
1.926,-10.1118786967485
1.927,-10.1785301531669
1.928,-10.2458862527104
1.929,-10.3139552184883
1.93,-10.3827453256125
1.931,-10.4522648979994
1.932,-10.5225223047905
1.933,-10.5935259563609
1.934,-10.6652842998765
1.935,-10.7378058143608
1.936,-10.8110990052278
1.937,-10.885172398233
1.938,-10.9600345327928
1.939,-11.035693954615
1.94,-11.1121592075821
1.941,-11.1894388248216
1.942,-11.2675413188921
1.943,-11.3464751710106
1.944,-11.4262488192359
1.945,-11.506870645521
1.946,-11.5883489615355
1.947,-11.6706919931545
1.948,-11.7539078634993
1.949,-11.8380045744082
1.95,-11.922989986203
1.951,-12.0088717956096
1.952,-12.0956575116756
1.953,-12.1833544295185
1.954,-12.2719696017231
1.955,-12.3615098071928
1.956,-12.4519815172443
1.957,-12.5433908587201
1.958,-12.6357435738717
1.959,-12.7290449767543
1.96,-12.8232999058482
1.961,-12.9185126726053
1.962,-13.0146870055949
1.963,-13.1118259899018
1.964,-13.2099320014045
1.965,-13.3090066355367
1.966,-13.4090506301102
1.967,-13.5100637817496
1.968,-13.6120448554635
1.969,-13.7149914868492
1.97,-13.8189000764009
1.971,-13.9237656753663
1.972,-14.0295818625704
1.973,-14.1363406116032
1.974,-14.2440321477464
1.975,-14.3526447940014
1.976,-14.4621648055655
1.977,-14.5725761921015
1.978,-14.6838605271498
1.979,-14.7959967440445
1.98,-14.9089609177249
1.981,-15.0227260318749
1.982,-15.1372617308857
1.983,-15.2525340562209
1.984,-15.3685051668765
1.985,-15.4851330437689
1.986,-15.6023711780648
1.987,-15.7201682436912
1.988,-15.8384677545303
1.989,-15.9572077071356
1.99,-16.0763202101914
1.991,-16.1957311023955
1.992,-16.3153595609828
1.993,-16.4351177037206
1.994,-16.5549101879132
1.995,-16.6746338107532
1.996,-16.7941771162433
1.997,-16.9134200149008
1.998,-17.0322334235276
1.999,-17.1504789334758
2,-17.2680085170492
2.001,-17.3846642829252
2.002,-17.500278292725
2.003,-17.6146724520651
2.004,-17.7276584905217
2.005,-17.839038045877
2.006,-17.9486028687001
2.007,-18.0561351636586
2.008,-18.1614080838589
2.009,-18.2641863938603
2.01,-18.3642273156965
2.011,-18.4612815701621
2.012,-18.5550946226925
2.013,-18.6454081393214
2.014,-18.7319616534142
2.015,-18.8144944381703
2.016,-18.8927475733491
2.017,-18.9664661874531
2.018,-19.0354018489314
2.019,-19.0993150721527
2.02,-19.1579778963061
2.021,-19.2111764884654
2.022,-19.258713716234
2.023,-19.3004116311515
2.024,-19.3361138017937
2.025,-19.365687435577
2.026,-19.389025230919
2.027,-19.4060469066631
2.028,-19.4167003634684
2.029,-19.4209624419099
2.03,-19.418839253886
2.031,-19.410366077015
2.032,-19.3956068153295
2.033,-19.3746530430343
2.034,-19.3476226606593
2.035,-19.3146582039812
2.036,-19.275924855088
2.037,-19.2316082115477
2.038,-19.1819118736355
2.039,-19.1270549109533
2.04,-19.0672692686948
2.041,-19.0027971705466
2.042,-18.9338885701601
2.043,-18.8607986967184
2.044,-18.7837857328184
2.045,-18.7031086551403
2.046,-18.6190252605891
2.047,-18.5317903931066
2.048,-18.4416543794357
2.049,-18.348861675973
2.05,-18.2536497235755
2.051,-18.1562480028587
2.052,-18.0568772791286
2.053,-17.9557490235837
2.054,-17.8530649957275
2.055,-17.7490169709552
2.056,-17.6437865969067
2.057,-17.5375453623061
2.058,-17.4304546625298
2.059,-17.3226659469603
2.06,-17.2143209342116
2.061,-17.1055518824653
2.062,-16.9964819033892
2.063,-16.8872253093603
2.064,-16.7778879849404
2.065,-16.6685677747402
2.066,-16.5593548809173
2.067,-16.450332264585
2.068,-16.3415760463481
2.069,-16.2331559020287
2.07,-16.1251354503954
2.071,-16.0175726303743
2.072,-15.910520065793
2.073,-15.8040254162082
2.074,-15.6981317127907
2.075,-15.592877678598
2.076,-15.4882980328647
2.077,-15.3844237791885
2.078,-15.281282477688
2.079,-15.1788985013731
2.08,-15.0772932770926
2.081,-14.9764855115247
2.082,-14.8764914027458
2.083,-14.7773248379702
2.084,-14.6789975780823
2.085,-14.5815194296093
2.086,-14.4848984047868
2.087,-14.3891408703742
2.088,-14.2942516858634
2.089,-14.2002343317156
2.09,-14.1070910282391
2.091,-14.0148228457021
2.092,-13.9234298062487
2.093,-13.8329109781614
2.094,-13.743264562987
2.095,-13.654487976016
2.096,-13.5665779205779
2.097,-13.4795304565879
