Freq(GHz),S11 Log Mag(dB)
2.099,-2.3422086
2.1,-2.368072
2.101,-2.3271871
2.102,-2.3239074
2.103,-2.2309992
2.104,-2.2495661
2.105,-2.2257316
2.106,-2.1694136
2.107,-2.1555572
2.108,-2.0863125
2.109,-2.1081624
2.11,-2.0791521
2.111,-2.0675831
2.112,-2.0278778
2.113,-2.0398238
2.114,-1.9990752
2.115,-1.9564108
2.116,-1.9213386
2.117,-1.873423
2.118,-1.8830301
2.119,-1.824036
2.12,-1.8166598
2.121,-1.8040776
2.122,-1.7525253
2.123,-1.7600943
2.124,-1.7278262
2.125,-1.6645373
2.126,-1.6992056
2.127,-1.6660496
2.128,-1.6280477
2.129,-1.6184781
2.13,-1.5911369
2.131,-1.5151938
2.132,-1.5383239
2.133,-1.5209945
2.134,-1.4937764
2.135,-1.4636942
2.136,-1.4474882
2.137,-1.4668602
2.138,-1.4147447
2.139,-1.4327774
2.14,-1.4251771
2.141,-1.3640617
2.142,-1.3718103
2.143,-1.3316407
2.144,-1.3705342
2.145,-1.3610835
2.146,-1.3270798
2.147,-1.3214785
2.148,-1.3344454
2.149,-1.3174495
2.15,-1.299401
2.151,-1.3307717
2.152,-1.3101317
2.153,-1.3107374
2.154,-1.2626324
2.155,-1.2522869
2.156,-1.2994556
2.157,-1.3012112
2.158,-1.264255
2.159,-1.2780484
2.16,-1.2347001
2.161,-1.2751937
2.162,-1.2553178
2.163,-1.2494797
2.164,-1.2732497
2.165,-1.2534089
2.166,-1.2242956
2.167,-1.228407
2.168,-1.2249382
2.169,-1.2024646
2.17,-1.2115858
2.171,-1.1882446
2.172,-1.1452321
2.173,-1.1598597
2.174,-1.1534935
2.175,-1.1473154
2.176,-1.1162024
2.177,-1.0531429
2.178,-1.0651152
2.179,-1.0337164
2.18,-1.0143999
2.181,-0.99506176
2.182,-0.99081296
2.183,-0.9474929
2.184,-0.95364743
2.185,-0.918001
2.186,-0.88714939
2.187,-0.87776327
2.188,-0.79136312
2.189,-0.75457484
2.19,-0.72708845
2.191,-0.6950081
2.192,-0.64708716
2.193,-0.63376707
2.194,-0.57756257
2.195,-0.55160695
2.196,-0.56380403
2.197,-0.52950078
2.198,-0.45421216
2.199,-0.45933965
2.2,-0.41745329
2.201,-0.34395546
2.202,-0.36057612
2.203,-0.30523014
2.204,-0.32565454
2.205,-0.32002494
2.206,-0.28418761
2.207,-0.24419063
2.208,-0.21596645
2.209,-0.22814947
2.21,-0.18963972
2.211,-0.2167763
2.212,-0.16067173
2.213,-0.15285036
2.214,-0.07318905
2.215,-0.089946739
2.216,-0.10866934
2.217,-0.061903417
2.218,-0.05793985
2.219,-0.051980581
2.22,-0.04062666
2.221,0.03715831
2.222,0.019786
2.223,0.067474306
2.224,0.10719763
2.225,0.05114587
2.226,0.10257324
2.227,0.13006881
2.228,0.16052862
2.229,0.16751975
2.23,0.16703074
2.231,0.22323374
2.232,0.23356284
2.233,0.23620465
2.234,0.24245375
2.235,0.25583926
2.236,0.26131985
2.237,0.30783758
2.238,0.30089492
2.239,0.35866725
2.24,0.37121427
2.241,0.38962623
2.242,0.36860079
2.243,0.43151346
2.244,0.43862829
2.245,0.44322252
2.246,0.47804147
2.247,0.50483912
2.248,0.55572724
2.249,0.56332767
2.25,0.53781343
2.251,0.53820884
2.252,0.61150944
2.253,0.63829905
2.254,0.63554013
2.255,0.65136397
2.256,0.70687962
2.257,0.70349622
2.258,0.73359746
2.259,0.78389204
2.26,0.77092093
2.261,0.79820138
2.262,0.83249182
2.263,0.85511756
2.264,0.85266995
2.265,0.91975081
2.266,0.93368828
2.267,0.94172454
2.268,0.9312076
2.269,0.96756893
2.27,0.9942556
2.271,1.0460457
2.272,1.0186647
2.273,0.99947858
2.274,1.0731543
2.275,1.0832714
2.276,1.1188306
2.277,1.0952851
2.278,1.1049392
2.279,1.1306049
2.28,1.1557574
2.281,1.1208574
2.282,1.1464466
2.283,1.1739682
2.284,1.1929495
