!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
1849000000,-0.81378829
1850000000,-0.78630507
1851000000,-0.83894497
1852000000,-0.83095896
1853000000,-0.83845079
1854000000,-0.84006983
1855000000,-0.85545218
1856000000,-0.8720116
1857000000,-0.91425884
1858000000,-0.9168911
1859000000,-0.91666645
1860000000,-0.90643501
1861000000,-0.96295917
1862000000,-0.99444467
1863000000,-1.0189017
1864000000,-1.0016975
1865000000,-1.0466225
1866000000,-1.0325272
1867000000,-1.0999516
1868000000,-1.1011827
1869000000,-1.1421469
1870000000,-1.1041502
1871000000,-1.143488
1872000000,-1.17786
1873000000,-1.1437436
1874000000,-1.172276
1875000000,-1.1965595
1876000000,-1.2234011
1877000000,-1.2507441
1878000000,-1.2746972
1879000000,-1.2687734
1880000000,-1.2677078
1881000000,-1.3339682
1882000000,-1.3325527
1883000000,-1.3250837
1884000000,-1.4039394
1885000000,-1.3548249
1886000000,-1.3942555
1887000000,-1.4465888
1888000000,-1.421375
1889000000,-1.4574221
1890000000,-1.442911
1891000000,-1.4818856
1892000000,-1.5436246
1893000000,-1.5478467
1894000000,-1.5547042
1895000000,-1.5543507
1896000000,-1.6093317
1897000000,-1.6335317
1898000000,-1.6598482
1899000000,-1.6869558
1900000000,-1.702661
1901000000,-1.7393708
1902000000,-1.6656917
1903000000,-1.7357668
1904000000,-1.811638
1905000000,-1.8288112
1906000000,-1.8429718
1907000000,-1.9124103
1908000000,-1.9179831
1909000000,-1.9264179
1910000000,-1.9028207
1911000000,-1.9577572
1912000000,-2.0054073
1913000000,-2.0217123
1914000000,-2.1115317
1915000000,-2.0517628
1916000000,-2.0928152
1917000000,-2.1175494
1918000000,-2.1404874
1919000000,-2.1691093
1920000000,-2.1639843
1921000000,-2.2074659
1922000000,-2.237272
1923000000,-2.2740149
1924000000,-2.3070493
1925000000,-2.2728329
1926000000,-2.299531
1927000000,-2.3755939
1928000000,-2.3996627
1929000000,-2.4078605
1930000000,-2.4478471
1931000000,-2.4811959
1932000000,-2.5152328
1933000000,-2.509073
1934000000,-2.4999416
1935000000,-2.5252442
1936000000,-2.5324111
1937000000,-2.5618603
1938000000,-2.5405395
1939000000,-2.5774682
1940000000,-2.5905368
1941000000,-2.5997095
1942000000,-2.6670008
1943000000,-2.6481981
1944000000,-2.6044209
1945000000,-2.6594498
1946000000,-2.5957224
1947000000,-2.6537418
1948000000,-2.662555
1949000000,-2.6311021
1950000000,-2.6798351
1951000000,-2.6400058
1952000000,-2.6726801
1953000000,-2.6680448
1954000000,-2.6638544
1955000000,-2.6555696
1956000000,-2.6607296
1957000000,-2.6627393
1958000000,-2.6936922
1959000000,-2.6988599
1960000000,-2.6935911
1961000000,-2.6832101
1962000000,-2.6863999
1963000000,-2.6501093
1964000000,-2.6894712
1965000000,-2.6514444
1966000000,-2.6576881
1967000000,-2.6874642
1968000000,-2.66486
1969000000,-2.6763813
1970000000,-2.6446013
1971000000,-2.6620939
1972000000,-2.657629
1973000000,-2.5990574
1974000000,-2.5614135
1975000000,-2.5337279
1976000000,-2.5565405
1977000000,-2.53072
1978000000,-2.510422
1979000000,-2.5230896
1980000000,-2.5060899
1981000000,-2.5123031
1982000000,-2.5109921
1983000000,-2.4789164
1984000000,-2.4970028
1985000000,-2.459357
1986000000,-2.4144626
1987000000,-2.4088356
1988000000,-2.4248805
1989000000,-2.3582406
1990000000,-2.4031396
1991000000,-2.3231962
1992000000,-2.3694458
1993000000,-2.3108447
1994000000,-2.3290875
1995000000,-2.2956331
1996000000,-2.3004506
1997000000,-2.3003144
1998000000,-2.3120594
1999000000,-2.2472396
