!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 17:07:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
1765000000,11693.709
1766000000,310.57117
1767000000,790.98877
1768000000,4542.3047
1769000000,899.65747
1770000000,1508.1382
1771000000,1959.3082
1772000000,1613.5332
1773000000,378.40744
1774000000,1307.1772
1775000000,264.57858
1776000000,408.64273
1777000000,286.18506
1778000000,236.57068
1779000000,566.70032
1780000000,425.08698
1781000000,256.25537
1782000000,376.58929
1783000000,2432.0979
1784000000,423.29044
1785000000,601.87305
1786000000,374.70819
1787000000,241.33871
1788000000,426.47058
1789000000,302.7258
1790000000,362.38449
1791000000,273.49121
1792000000,259.01038
1793000000,844.50104
1794000000,408.69955
1795000000,264.8627
1796000000,523.58557
1797000000,218.27747
1798000000,237.19592
1799000000,232.94627
1800000000,190.49046
1801000000,287.89868
1802000000,273.85034
1803000000,233.09167
1804000000,134.90891
1805000000,143.75452
1806000000,152.31306
1807000000,151.37093
1808000000,126.46497
1809000000,111.4599
1810000000,120.37048
1811000000,106.2709
1812000000,120.93253
1813000000,126.03775
1814000000,111.75497
1815000000,104.72356
1816000000,108.96357
1817000000,115.67796
1818000000,83.421333
1819000000,82.481865
1820000000,101.36558
1821000000,106.27282
1822000000,87.299614
1823000000,150.1237
1824000000,83.700165
1825000000,96.99588
1826000000,97.054878
1827000000,86.612679
1828000000,88.572189
1829000000,76.233673
1830000000,77.323494
1831000000,83.033295
1832000000,79.090836
1833000000,83.339233
1834000000,82.723602
1835000000,82.339149
1836000000,81.773514
1837000000,91.906776
1838000000,70.196098
1839000000,75.482727
1840000000,70.698418
1841000000,68.655151
1842000000,70.901627
1843000000,67.22979
1844000000,71.356041
1845000000,75.401581
1846000000,61.480804
1847000000,63.343243
1848000000,56.85894
1849000000,58.728992
1850000000,64.160423
1851000000,58.194729
1852000000,58.129108
1853000000,55.894653
1854000000,57.740704
1855000000,51.717804
1856000000,55.207191
1857000000,52.218822
1858000000,51.041267
1859000000,48.395752
1860000000,51.873898
1861000000,46.162704
1862000000,44.732361
1863000000,43.423149
1864000000,43.7621
1865000000,39.69854
1866000000,43.4128
1867000000,37.614166
1868000000,39.833923
1869000000,37.35384
1870000000,37.999077
1871000000,40.854153
1872000000,36.483383
1873000000,41.49799
1874000000,39.781322
1875000000,36.654381
1876000000,39.270836
1877000000,34.533298
1878000000,35.229202
1879000000,34.89489
1880000000,37.630798
1881000000,33.575211
1882000000,34.168568
1883000000,33.760021
1884000000,31.254274
1885000000,34.29409
1886000000,32.245289
1887000000,33.944706
1888000000,31.762197
1889000000,30.575703
1890000000,30.345678
1891000000,28.868979
1892000000,29.593309
1893000000,28.319326
1894000000,29.241964
1895000000,28.318865
1896000000,27.27763
1897000000,26.802099
1898000000,25.066681
1899000000,24.898819
1900000000,25.098419
1901000000,23.956293
