Freq(GHz),S11 Log Mag(dB)
1.894,-0.5943019396026029
1.895,-0.6136900349338736
1.896,-0.6371362867707204
1.897,-0.6484509646410921
1.898,-0.6933907128962129
1.899,-0.6980704075969604
1.9,-0.6925129615308683
1.901,-0.7255663331186485
1.902,-0.6542343318726662
1.903,-0.668898451400816
1.904,-0.7461306816838524
1.905,-0.7585698184894436
1.906,-0.7602487285011544
1.907,-0.7984154331792506
1.908,-0.8232579320788969
1.909,-0.8101164375175767
1.91,-0.7665233281164586
1.911,-0.8130229956910804
1.912,-0.8594449643977413
1.913,-0.8906500532458407
1.914,-0.9100996074207933
1.915,-0.8687166364033538
1.916,-0.90091818342939
1.917,-0.9038940239030824
1.918,-0.8809884665126584
1.919,-0.9356082266073524
1.92,-0.9250703400999282
1.921,-0.9509401004159651
1.922,-0.9568894960805105
1.923,-0.966355530036363
1.924,-1.0078389050151002
1.925,-0.9804490347691235
1.926,-1.0021753088106846
1.927,-1.0601802232348718
1.928,-1.0743892009825327
1.929,-1.085716222618016
1.93,-1.090370810216444
1.931,-1.1074430643396398
1.932,-1.1477717831427314
1.933,-1.1524111272047848
1.934,-1.1420649817473822
1.935,-1.1609556091725672
1.936,-1.166417110938354
1.937,-1.2160989866398986
1.938,-1.226093896415143
1.939,-1.2596732586211727
1.94,-1.2748457218174378
1.941,-1.321697065068659
1.942,-1.3867327571411092
1.943,-1.372400574094752
1.944,-1.3675681919893368
1.945,-1.4182818262347496
1.946,-1.399683431507739
1.947,-1.4595073986123226
1.948,-1.4986573608630551
1.949,-1.4647166129333904
1.95,-1.5240978749938872
1.951,-1.514071288834399
1.952,-1.5407316239501758
1.953,-1.572244609320633
1.954,-1.5913667832979541
1.955,-1.616069305893841
1.956,-1.6114971098436461
1.957,-1.6341388878364533
1.958,-1.6839674354420824
1.959,-1.697143740323077
1.96,-1.7131882756004957
1.961,-1.7178331804170857
1.962,-1.739505858162904
1.963,-1.711023946399802
1.964,-1.7801456811623473
1.965,-1.7279066003251855
1.966,-1.7877784157799548
1.967,-1.778216785478997
1.968,-1.8128390508132846
1.969,-1.801513854512002
1.97,-1.7899579712712064
1.971,-1.7982469168860316
1.972,-1.8332360167892812
1.973,-1.7690380422756546
1.974,-1.740845080015481
1.975,-1.7726545919822314
1.976,-1.8034587152316357
1.977,-1.8030448659184728
1.978,-1.7858355288227283
1.979,-1.7756222633880654
1.98,-1.7853972722413316
1.981,-1.8364001727694639
1.982,-1.8021907189846067
1.983,-1.8075198513424287
