"Freq [GHz]","dB(S(1,1)) []"
2.072,-2.50053010374504
2.073,-2.50069159757034
2.074,-2.50084353640028
2.075,-2.50098595274543
2.076,-2.50111887999685
2.077,-2.50124235242454
2.078,-2.5013564051757
2.079,-2.50146107427299
2.08,-2.50155639661264
2.081,-2.50164240996243
2.082,-2.50171915295968
2.083,-2.50178666510897
2.084,-2.50184498677994
2.085,-2.50189415920486
2.086,-2.50193422447616
2.087,-2.50196522554377
2.088,-2.50198720621255
2.089,-2.5020002111394
2.09,-2.5020042858304
2.091,-2.50199947663781
2.092,-2.50198583075696
2.093,-2.50196339622306
2.094,-2.50193222190787
2.095,-2.50189235751635
2.096,-2.50184385358307
2.097,-2.50178676146867
2.098,-2.50172113335612
2.099,-2.50164702224688
2.1,-2.50156448195704
2.101,-2.50147356711322
2.102,-2.50137433314853
2.103,-2.50126683629831
2.104,-2.50115113359581
2.105,-2.50102728286773
2.106,-2.50089534272976
2.107,-2.50075537258188
2.108,-2.50060743260373
2.109,-2.50045158374969
2.11,-2.50028788774396
2.111,-2.50011640707557
2.112,-2.49993720499324
2.113,-2.49975034550014
2.114,-2.49955589334859
2.115,-2.4993539140346
2.116,-2.49914447379237
2.117,-2.49892763958866
2.118,-2.49870347911705
2.119,-2.49847206079224
2.12,-2.49823345374396
2.121,-2.49798772781112
2.122,-2.49773495353559
2.123,-2.49747520215613
2.124,-2.49720854560198
2.125,-2.49693505648654
2.126,-2.49665480810088
2.127,-2.4963678744072
2.128,-2.49607433003211
2.129,-2.49577425025992
2.13,-2.49546771102584
2.131,-2.49515478890893
2.132,-2.49483556112521
2.133,-2.4945101055205
2.134,-2.49417850056316
2.135,-2.49384082533695
2.136,-2.49349715953357
2.137,-2.49314758344518
2.138,-2.49279217795697
2.139,-2.49243102453946
2.14,-2.49206420524083
2.141,-2.49169180267913
2.142,-2.49131390003445
2.143,-2.49093058104092
2.144,-2.49054192997875
2.145,-2.49014803166611
2.146,-2.48974897145096
