!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:34:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1090181818.1818,0.85848099,-84.259941,-146.32538,-80.665321,-269.95145
1090909090.9091,0.85964572,-87.549889,-150.90321,-80.396866,-269.3226
1091636363.6364,0.86117405,-86.016121,-163.8356,-80.382072,-269.03232
1092363636.3636,0.86246675,-84.780396,-174.26193,-80.06337,-268.30276
1093090909.0909,0.85861617,-85.137901,-166.87526,-79.463631,-268.01828
1093818181.8182,0.85596216,-92.785896,-175.31479,-78.794411,-267.40765
1094545454.5455,0.85658127,-90.485115,-149.14604,-78.834877,-267.36499
1095272727.2727,0.85445952,-84.816353,173.49831,-78.313705,-266.89383
1096000000,0.85444707,-87.706841,-164.07967,-78.155891,-266.64063
1096727272.7273,0.8511548,-89.307129,-114.55247,-77.550797,-266.22977
1097454545.4545,0.85207039,-86.84272,177.74272,-77.269859,-265.61197
1098181818.1818,0.84885681,-88.744743,-168.82736,-76.837097,-265.46078
1098909090.9091,0.84628123,-81.810509,-161.01736,-76.517197,-265.38208
1099636363.6364,0.84386885,-85.749382,-138.15417,-75.804924,-264.62143
1100363636.3636,0.83888865,-83.722321,-158.43959,-75.120132,-264.34515
1101090909.0909,0.83466119,-81.350693,-168.70265,-74.71463,-264.40228
1101818181.8182,0.83311236,-89.96096,134.23799,-74.238297,-263.86642
1102545454.5455,0.82522291,-81.099693,-172.61371,-73.297707,-263.64557
1103272727.2727,0.81872046,-81.248756,159.63184,-72.799751,-263.93713
1104000000,0.8187694,-81.927628,-171.70856,-72.65049,-263.66852
1104727272.7273,0.81423402,-85.40522,-167.97548,-72.061195,-263.44623
1105454545.4545,0.81328988,-87.980766,177.57338,-71.845024,-263.23462
1106181818.1818,0.81097597,-95.312553,32.972305,-71.437141,-262.92792
1106909090.9091,0.81547278,-90.125206,122.94193,-71.823799,-262.80801
1107636363.6364,0.81017935,-89.880875,-159.49759,-71.003052,-262.29984
1108363636.3636,0.80576235,-85.403343,-110.15514,-70.480515,-262.15701
1109090909.0909,0.8039214,-84.132088,-162.39909,-70.086899,-261.77972
1109818181.8182,0.79934061,-82.402115,-173.90715,-69.441025,-261.43387
1110545454.5455,0.79539543,-82.74926,-126.29222,-69.060532,-261.45157
1111272727.2727,0.7889626,-86.118309,-161.34372,-68.200653,-261.03424
1112000000,0.7884503,-85.582397,172.96193,-67.768822,-260.32523
1112727272.7273,0.78425813,-83.33947,131.27173,-67.478752,-260.54617
1113454545.4545,0.77835482,-91.426125,156.90984,-66.799614,-260.34763
1114181818.1818,0.77433306,-86.47567,157.70766,-66.402664,-260.33334
1114909090.9091,0.76942831,-88.403381,170.54903,-65.789726,-260.06595
1115636363.6364,0.76220256,-93.727066,150.9959,-64.874939,-259.63617
1116363636.3636,0.7582159,-94.941139,97.989326,-64.61702,-259.87659
1117090909.0909,0.75306594,-90.398354,108.8373,-63.832336,-259.29572
1117818181.8182,0.75036585,-85.315491,-163.15509,-63.56274,-259.26825
1118545454.5455,0.74146873,-88.558914,-142.12132,-62.737865,-259.29962
1119272727.2727,0.734855,-90.515511,-150.9816,-62.163429,-259.39795
1120000000,0.72952175,-85.512306,-120.41446,-61.56609,-259.19916
1120727272.7273,0.73077649,-84.792503,173.3326,-61.665237,-259.16122
1121454545.4545,0.72131538,-86.380821,-144.97374,-60.772049,-259.14282
1122181818.1818,0.71885735,-88.928185,-177.86015,-60.611217,-259.28635
1122909090.9091,0.7177192,-90.441376,-130.93747,-60.392677,-259.0495
1123636363.6364,0.71653175,-91.932121,130.88852,-60.33086,-259.15216
