!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1105454545.4545,0.72997975,-92.73587,129.511,-62.52792,-261.08643
1106181818.1818,0.72794849,-82.259796,73.110374,-62.208855,-260.82837
1106909090.9091,0.72915244,-85.421898,171.36545,-62.157227,-260.48788
1107636363.6364,0.72819197,-87.334465,157.04008,-61.8451,-260.0325
1108363636.3636,0.72131419,-89.687729,41.953621,-61.115932,-259.862
1109090909.0909,0.72148746,-85.253792,125.95219,-60.753757,-259.07089
1109818181.8182,0.7173335,-83.777931,178.16061,-60.214024,-258.74811
1110545454.5455,0.71485639,-89.537292,173.65807,-60.046703,-258.88034
1111272727.2727,0.70796025,-84.919174,-164.68976,-59.185822,-258.40323
1112000000,0.7053659,-94.085068,82.471382,-58.781372,-258.04517
1112727272.7273,0.70054698,-99.840714,88.163422,-58.384003,-258.1413
1113454545.4545,0.69741946,-88.967422,21.579638,-57.928097,-257.76895
1114181818.1818,0.68969113,-84.780624,59.46347,-57.207767,-257.73129
1114909090.9091,0.68839538,-105.53027,32.078575,-56.894482,-257.29431
1115636363.6364,0.68346286,-87.930748,67.63073,-56.232906,-256.80679
1116363636.3636,0.68016434,-86.185036,93.489998,-55.930923,-256.79376
1117090909.0909,0.67711079,-88.501732,77.143692,-55.424152,-256.26062
1117818181.8182,0.67149657,-92.427841,3.5950017,-54.963802,-256.35309
1118545454.5455,0.66439188,-85.105148,-141.18932,-54.190594,-256.02197
1119272727.2727,0.6589725,-98.795982,140.14471,-53.762115,-256.14288
1120000000,0.65029931,-93.44062,-70.531914,-53.036255,-256.23953
1120727272.7273,0.65031219,-92.41333,173.83057,-52.953781,-256.03842
1121454545.4545,0.6471864,-97.55835,117.98271,-52.659912,-255.99324
1122181818.1818,0.64313853,-89.450287,149.08731,-52.314919,-256.0195
1122909090.9091,0.63968772,-95.72776,113.86658,-52.069611,-256.1608
1123636363.6364,0.63921833,-97.15715,60.586517,-51.986324,-256.05759
1124363636.3636,0.64013177,-94.409294,-96.172089,-51.931847,-255.72734
1125090909.0909,0.63417989,-90.239647,-49.484764,-51.325691,-255.51422
1125818181.8182,0.63677037,-93.576988,97.089905,-51.379616,-255.08859
1126545454.5455,0.63323599,-92.3955,34.987537,-51.077885,-255.10191
1127272727.2727,0.63588303,-96.389694,175.89272,-51.069885,-254.51076
1128000000,0.63479698,-104.49372,155.21815,-50.839836,-254.17111
1128727272.7273,0.63751513,-107.0096,109.51749,-50.776134,-253.42932
1129454545.4545,0.63397521,-93.746613,-19.306709,-50.381054,-253.19901
1130181818.1818,0.63377404,-94.677887,-85.145546,-50.092583,-252.51642
1130909090.9091,0.63311946,-91.974937,-163.0974,-49.849339,-252.04247
1131636363.6364,0.62681389,-94.418015,-112.27943,-49.076797,-251.42834
1132363636.3636,0.6255703,-87.924103,153.76025,-48.803787,-250.99437
1133090909.0909,0.61913639,-93.755432,131.84351,-48.246212,-250.94164
1133818181.8182,0.61556178,-90.834343,154.02284,-47.69931,-250.28699
1134545454.5455,0.61031818,-89.482422,137.39482,-47.09444,-249.83186
1135272727.2727,0.60631722,-98.442955,56.786766,-46.757362,-249.81091
1136000000,0.59719431,-90.976448,135.74074,-45.953842,-249.6619
1136727272.7273,0.58733231,-94.102173,-141.99861,-45.047367,-249.38226
