!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:24:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1089454545.4545,2.2346003,-84.943565,153.98141,-12.715757,48.882408
1090181818.1818,2.2264895,-82.495056,137.94559,-12.621544,48.702534
1090909090.9091,2.2243392,-80.224937,176.25401,-12.522791,48.370197
1091636363.6364,2.2232709,-86.357857,162.97104,-12.462737,48.161213
1092363636.3636,2.2304916,-92.020103,144.39134,-12.441134,47.916832
1093090909.0909,2.2176168,-88.298103,-155.0865,-12.302537,47.660385
1093818181.8182,2.2174022,-87.558174,-176.62407,-12.238486,47.412113
1094545454.5455,2.2169771,-82.598442,-162.7162,-12.172212,47.158237
1095272727.2727,2.208221,-83.558128,167.99802,-12.074407,46.96254
1096000000,2.2110975,-79.940865,170.64091,-12.019395,46.676369
1096727272.7273,2.1998749,-79.85746,168.65598,-11.902001,46.451366
1097454545.4545,2.2133653,-87.42868,130.34042,-11.915282,46.202858
1098181818.1818,2.203949,-82.680695,141.51523,-11.809506,45.980301
1098909090.9091,2.2012451,-84.042473,153.75024,-11.738424,45.747269
1099636363.6364,2.1934152,-90.324188,135.88124,-11.645575,45.537052
1100363636.3636,2.1865299,-90.163841,91.836769,-11.55417,45.3088
1101090909.0909,2.1847789,-84.587906,154.90883,-11.480716,45.03738
1101818181.8182,2.1953235,-83.436371,118.97986,-11.482458,44.805855
1102545454.5455,2.1723366,-85.39933,152.20235,-11.327591,44.664993
1103272727.2727,2.1673205,-87.507843,-163.13019,-11.231423,44.362835
1104000000,2.1661341,-91.16256,-143.30583,-11.17412,44.139637
1104727272.7273,2.1590033,-84.513184,178.6208,-11.087072,43.920425
1105454545.4545,2.1514895,-84.827354,153.93616,-10.991298,43.668381
1106181818.1818,2.1534712,-78.351677,-177.37022,-10.954808,43.459278
1106909090.9091,2.148248,-83.90564,179.43123,-10.873217,43.212925
1107636363.6364,2.1510077,-86.045189,-178.2482,-10.833144,42.967312
1108363636.3636,2.1380892,-84.602478,160.1003,-10.719815,42.75005
1109090909.0909,2.1352468,-85.545776,135.67336,-10.660289,42.541996
1109818181.8182,2.1326027,-81.397865,104.23694,-10.591611,42.284969
1110545454.5455,2.1255972,-83.285378,161.508,-10.508343,42.059593
1111272727.2727,2.1220615,-88.932266,162.741,-10.444377,41.840912
1112000000,2.1169863,-81.096878,158.7074,-10.375947,41.635368
1112727272.7273,2.1122277,-89.00988,159.50661,-10.298176,41.375187
1113454545.4545,2.1042974,-84.923019,169.52364,-10.216856,41.170425
1114181818.1818,2.100687,-81.668327,-177.36659,-10.151361,40.937019
1114909090.9091,2.089921,-90.195396,-163.98628,-10.051532,40.703522
1115636363.6364,2.0775774,-83.957466,164.47311,-9.9551878,40.521709
