Freq(Hz),s21 unwrapped phase(Deg)
2488000000.0,-271.6184
2489000000.0,-271.7879
2490000000.0,-271.6091
2491000000.0,-271.5129
2492000000.0,-271.1132
2493000000.0,-271.1073
2494000000.0,-270.6758
2495000000.0,-270.4069
2496000000.0,-270.0533
2497000000.0,-269.638
2498000000.0,-269.1544
2499000000.0,-269.0389
2500000000.0,-268.7659
2501000000.0,-268.428
2502000000.0,-268.2687
2503000000.0,-268.3156
2504000000.0,-268.2133
2505000000.0,-268.3038
2506000000.0,-268.3579
2507000000.0,-268.7368
2508000000.0,-268.8063
2509000000.0,-269.2298
2510000000.0,-269.7004
2511000000.0,-270.0465
2512000000.0,-270.6996
2513000000.0,-271.2554
2514000000.0,-272.0172
2515000000.0,-272.8521
2516000000.0,-273.6553
2517000000.0,-274.4225
2518000000.0,-275.1652
2519000000.0,-275.9266
2520000000.0,-276.8916
2521000000.0,-277.4255
2522000000.0,-278.108
2523000000.0,-278.9789
2524000000.0,-279.3277
2525000000.0,-279.8796
2526000000.0,-280.3997
2527000000.0,-280.5986
2528000000.0,-280.9578
2529000000.0,-281.2284
2530000000.0,-281.1924
2531000000.0,-281.2728
2532000000.0,-281.2477
2533000000.0,-281.0822
2534000000.0,-281.0419
2535000000.0,-280.6731
2536000000.0,-280.5124
2537000000.0,-280.2078
2538000000.0,-279.9033
2539000000.0,-279.4149
2540000000.0,-279.2408
2541000000.0,-278.8901
2542000000.0,-278.573
2543000000.0,-278.4094
2544000000.0,-278.1433
2545000000.0,-278.207
2546000000.0,-278.0001
2547000000.0,-277.9529
2548000000.0,-278.2044
2549000000.0,-278.3209
2550000000.0,-278.5999
2551000000.0,-278.9
2552000000.0,-279.2064
2553000000.0,-279.7658
2554000000.0,-280.4128
2555000000.0,-281.0111
2556000000.0,-281.8422
2557000000.0,-282.4782
2558000000.0,-283.26
2559000000.0,-283.9501
2560000000.0,-284.9731
2561000000.0,-285.533
2562000000.0,-286.4976
2563000000.0,-287.3088
2564000000.0,-288.0869
2565000000.0,-288.6844
2566000000.0,-289.2223
2567000000.0,-289.5822
2568000000.0,-290.3224
2569000000.0,-290.619
2570000000.0,-290.9781
2571000000.0,-291.254
2572000000.0,-291.1898
2573000000.0,-291.3226
2574000000.0,-291.2711
2575000000.0,-291.3313
2576000000.0,-290.9739
2577000000.0,-290.696
2578000000.0,-290.4943
2579000000.0,-290.2208
2580000000.0,-289.8398
2581000000.0,-289.4699
2582000000.0,-289.1849
2583000000.0,-288.66
2584000000.0,-288.4707
2585000000.0,-288.0101
2586000000.0,-287.6702
2587000000.0,-287.6908
2588000000.0,-287.5386
2589000000.0,-287.4533
2590000000.0,-287.4112
2591000000.0,-287.7646
2592000000.0,-287.6945
2593000000.0,-288.16
2594000000.0,-288.3981
2595000000.0,-288.8617
2596000000.0,-289.4442
2597000000.0,-289.999
2598000000.0,-290.8182
2599000000.0,-291.6475
2600000000.0,-292.1866
2601000000.0,-293.0855
2602000000.0,-294.0025
2603000000.0,-294.905
2604000000.0,-295.7758
2605000000.0,-296.4652
2606000000.0,-297.3131
2607000000.0,-298.079
2608000000.0,-298.7545
2609000000.0,-299.3717
2610000000.0,-299.7783
2611000000.0,-300.293
2612000000.0,-300.9956
2613000000.0,-301.1805
2614000000.0,-301.4543
2615000000.0,-301.4447
2616000000.0,-301.3492
2617000000.0,-301.4064
2618000000.0,-301.2561
2619000000.0,-301.0888
2620000000.0,-300.5773
2621000000.0,-300.5133
2622000000.0,-300.1201
2623000000.0,-299.7498
2624000000.0,-299.3069
2625000000.0,-298.8363
2626000000.0,-298.3214
2627000000.0,-298.1056
2628000000.0,-297.6923
2629000000.0,-297.5403
2630000000.0,-297.2439
2631000000.0,-297.1786
2632000000.0,-296.9452
2633000000.0,-296.9459
2634000000.0,-297.0175
2635000000.0,-297.1876
2636000000.0,-297.7062
2637000000.0,-298.066
2638000000.0,-298.4849
2639000000.0,-298.8356
2640000000.0,-299.3757
2641000000.0,-300.2402
2642000000.0,-301.1479
2643000000.0,-301.7234
2644000000.0,-302.6569
2645000000.0,-303.3939
2646000000.0,-304.4189
2647000000.0,-305.1388
2648000000.0,-306.1677
2649000000.0,-307.1234
2650000000.0,-307.9413
2651000000.0,-308.547
2652000000.0,-309.1793
2653000000.0,-309.7095
2654000000.0,-310.2763
2655000000.0,-310.6874
2656000000.0,-311.0451
2657000000.0,-311.3204
2658000000.0,-311.4701
2659000000.0,-311.4859
2660000000.0,-311.4643
2661000000.0,-311.2076
2662000000.0,-311.0115
2663000000.0,-310.7304
2664000000.0,-310.376
2665000000.0,-310.015
2666000000.0,-309.7935
2667000000.0,-309.1947
2668000000.0,-308.8599
2669000000.0,-308.5085
2670000000.0,-307.9614
2671000000.0,-307.5916
2672000000.0,-307.2546
2673000000.0,-307.0572
2674000000.0,-306.9191
2675000000.0,-306.5546
2676000000.0,-306.613
2677000000.0,-306.5555
2678000000.0,-306.9349
2679000000.0,-307.0737
2680000000.0,-307.3331
2681000000.0,-307.8383
2682000000.0,-308.4647
2683000000.0,-309.009
2684000000.0,-309.7228
2685000000.0,-310.5692
2686000000.0,-311.4962
2687000000.0,-312.1699
2688000000.0,-312.956
2689000000.0,-313.9398
2690000000.0,-314.7647
2691000000.0,-315.617
2692000000.0,-316.6195
2693000000.0,-317.4551
2694000000.0,-317.9975
2695000000.0,-318.716
2696000000.0,-319.3039
2697000000.0,-319.9165
2698000000.0,-320.3904
2699000000.0,-320.8454
2700000000.0,-320.8915
2701000000.0,-320.8893
2702000000.0,-320.9851
2703000000.0,-321.1766
2704000000.0,-320.9944
2705000000.0,-320.7883
2706000000.0,-320.4076
2707000000.0,-320.1879
2708000000.0,-319.7448
2709000000.0,-319.2462
2710000000.0,-319.0504
2711000000.0,-318.4265
2712000000.0,-317.8733
2713000000.0,-317.609
2714000000.0,-317.1678
2715000000.0,-316.939
2716000000.0,-316.6735
2717000000.0,-316.2832
2718000000.0,-316.2846
2719000000.0,-316.1153
2720000000.0,-316.1582
2721000000.0,-316.5124
2722000000.0,-316.6081
2723000000.0,-316.9368
2724000000.0,-317.3379
2725000000.0,-318.0748
2726000000.0,-318.5759
2727000000.0,-319.2789
2728000000.0,-319.7726
