!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:23:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1072727272.7273,0.44097805,-89.993256,-43.702072,-924.51117,982.51801
1073454545.4545,0.4400107,-89.402794,97.061813,-924.05444,984.52185
1074181818.1818,0.43197381,-83.803894,30.56992,-934.73309,1002.4136
1074909090.9091,0.42957404,-96.976456,142.77174,-944.26257,1008.3164
1075636363.6364,0.43243605,-92.53334,-97.990005,-951.30804,1002.4392
1076363636.3636,0.42863369,-90.72628,121.54282,-949.09937,1010.712
1077090909.0909,0.42387334,-83.68895,-103.83948,-954.97449,1021.7549
1077818181.8182,0.42150852,-97.887772,24.540373,-970.65344,1028.1519
1078545454.5455,0.41682941,-87.524109,171.61258,-955.78851,1037.8674
1079272727.2727,0.41405761,-85.667091,50.025681,-961.72803,1044.783
1080000000,0.41304171,-89.363968,-96.389503,-962.21619,1047.1952
1080727272.7273,0.41319764,-108.02671,-147.99951,-963.67725,1046.9548
1081454545.4545,0.41490909,-85.866837,58.050217,-956.31769,1042.3418
1082181818.1818,0.412117,-88.343109,46.256615,-963.94989,1049.5103
1082909090.9091,0.40874177,-90.995232,128.94218,-967.41772,1057.7869
1083636363.6364,0.40899819,-92.214363,-26.808641,-977.27698,1058.0195
1084363636.3636,0.40531874,-84.804909,25.120728,-965.73541,1065.7892
1085090909.0909,0.41050038,-90.026176,106.43423,-967.64557,1053.6384
1085818181.8182,0.40821829,-88.606987,-86.326683,-979.69342,1060.0867
1086545454.5455,0.40881497,-94.791313,-99.029335,-977.11523,1058.4457
1087272727.2727,0.40874183,-91.674049,-75.528107,-972.46008,1058.2317
1088000000,0.40940693,-108.56995,-151.42827,-974.08282,1056.781
1088727272.7273,0.40819889,-95.576057,-11.09637,-980.46167,1060.1948
1089454545.4545,0.41411179,-91.838715,-126.02131,-984.95264,1046.349
1090181818.1818,0.41067526,-100.69837,30.439589,-987.20923,1054.7261
1090909090.9091,0.41564384,-104.46412,65.761276,-983.00897,1042.5918
1091636363.6364,0.41394967,-95.187454,-120.02623,-991.40112,1047.1158
1092363636.3636,0.42006296,-91.947426,90.084045,-1007.6163,1033.1219
1093090909.0909,0.41958693,-98.00264,171.17392,-1013.9686,1034.4185
1093818181.8182,0.42053309,-90.003838,-35.362217,-1027.8527,1032.3047
1094545454.5455,0.42048874,-113.96943,-0.89649916,-1032.127,1032.4282
1095272727.2727,0.42299935,-105.51908,-117.55984,-1042.2804,1026.1906
1096000000,0.42270544,-87.455902,-104.82926,-1043.3383,1026.8997
1096727272.7273,0.42060903,-93.252869,-71.48407,-1061.8402,1031.7404
1097454545.4545,0.42962828,-97.317993,-92.334976,-1084.7645,1007.8028
1098181818.1818,0.42521513,-87.548843,-133.24741,-1086.739,1018.9006
1098909090.9091,0.42177525,-86.544342,-152.30353,-1093.2898,1027.3601
1099636363.6364,0.41938153,-86.603493,-158.49272,-1114.2251,1032.2249
1100363636.3636,0.42085305,-88.264427,-172.71202,-1122.769,1027.5991
1101090909.0909,0.41462174,-89.995872,-135.79933,-1127.9286,1044.0132
1101818181.8182,0.41739228,-102.15133,-117.00303,-1144.9493,1034.9165
1102545454.5455,0.40625614,-90.616913,49.033699,-1168.5266,1064.0562
1103272727.2727,0.40752763,-97.991089,119.19038,-1153.7661,1061.7068
1104000000,0.40761411,-100.15832,-118.69824,-1166.3668,1060.3468
1104727272.7273,0.40362322,-90.707443,-126.16537,-1166.1157,1071.885
1105454545.4545,0.39965552,-101.61646,-102.90993,-1174.5145,1082.7932
1106181818.1818,0.39938864,-93.484711,-105.38104,-1175.5088,1083.5002
1106909090.9091,0.40008378,-90.230026,-103.75785,-1174.8422,1081.5048
1107636363.6364,0.40074307,-86.182411,-160.26038,-1199.2734,1077.2408
1108363636.3636,0.39455205,-94.32476,-133.94405,-1196.412,1096.2473
1109090909.0909,0.3919777,-94.965828,-114.63117,-1210.5344,1102.8906
1109818181.8182,0.38804609,-87.715324,132.06696,-1206.9752,1115.4191
1110545454.5455,0.38790858,-93.025635,-170.62428,-1195.2079,1116.6995
1111272727.2727,0.39075139,-89.59745,97.246323,-1216.6875,1106.1338
1112000000,0.3855131,-87.851578,111.08012,-1218.562,1122.4606
1112727272.7273,0.38758698,-89.130295,-163.2731,-1216.3275,1116.0945
1113454545.4545,0.38736141,-91.514778,93.236702,-1226.8058,1115.8694
1114181818.1818,0.3852714,-88.915306,164.37865,-1228.5376,1122.3779
1114909090.9091,0.38360456,-94.067085,150.58572,-1233.0898,1127.3278
1115636363.6364,0.38473091,-91.342491,-41.396111,-1261.089,1120.7666
1116363636.3636,0.38051447,-92.754059,40.843796,-1253.2579,1135.5389
1117090909.0909,0.3764089,-90.200371,104.56721,-1273.9846,1147.2178
1117818181.8182,0.37376833,-85.181511,-157.54604,-1285.6399,1155.047
1118545454.5455,0.36900038,-97.107849,-172.89949,-1293.312,1170.8965
1119272727.2727,0.37105209,-90.688248,-176.61699,-1292.6589,1163.7588
1120000000,0.36567003,-95.839043,168.42526,-1301.6216,1181.9034
1120727272.7273,0.36681405,-93.631371,58.693024,-1295.4252,1178.4182
1121454545.4545,0.36162975,-98.48909,88.543037,-1306.2693,1196.0211
1122181818.1818,0.35944363,-90.282913,89.360489,-1311.2159,1203.5576
1122909090.9091,0.36125985,-95.02047,137.42928,-1298.5681,1198.0029
1123636363.6364,0.36110032,-92.743149,96.924606,-1298.9377,1198.5488
1124363636.3636,0.36201787,-90.019157,-12.748193,-1305.7271,1194.6631
1125090909.0909,0.35939911,-88.838669,-147.70047,-1312.9208,1203.5746
1125818181.8182,0.36467949,-93.069954,107.95305,-1321.3346,1183.4532
1126545454.5455,0.36272824,-93.350426,-122.56516,-1323.5898,1190.3445
1127272727.2727,0.36726648,-85.042526,-127.21729,-1324.8121,1173.6414
1128000000,0.36691266,-85.029083,-142.12753,-1343.9585,1172.4796
1128727272.7273,0.37393904,-87.598427,-177.62524,-1341.1721,1147.1567
1129454545.4545,0.36894143,-92.306885,-165.45062,-1380.5569,1159.1917
1130181818.1818,0.37083739,-91.379944,-99.390419,-1402.4473,1147.8245
1130909090.9091,0.37347251,-104.6839,-123.37003,-1414.7976,1135.0265
1131636363.6364,0.36670652,-100.50291,127.06901,-1468.8032,1149.4446
1132363636.3636,0.36920983,-87.34729,105.06334,-1476.1676,1137.2319
1133090909.0909,0.3629064,-88.657898,160.76495,-1498.1527,1157.9463
1133818181.8182,0.36273664,-93.220383,-41.459518,-1533.7865,1148.8488
1134545454.5455,0.36231917,-99.0168,59.623844,-1540.2589,1148.7871
1135272727.2727,0.35639027,-91.686058,-25.024773,-1579.3212,1163.8306
