!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:30:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1084363636.3636,-42.2789,0.082676984,0.094494104,50.69986,-0.33200884
1085090909.0909,-42.618469,0.080549955,0.10381846,50.679195,-0.30555785
1085818181.8182,-42.390133,0.083282247,0.071967296,50.683167,-0.34343386
1086545454.5455,-42.898846,0.082597569,0.079195209,50.642048,-0.32769746
1087272727.2727,-42.637737,0.084581874,0.083572417,50.671532,-0.31809324
1088000000,-42.713345,0.084273294,0.074081481,50.656002,-0.33481318
1088727272.7273,-42.711071,0.082596369,0.078374855,50.665134,-0.31688347
1089454545.4545,-42.659763,0.086238071,0.089491934,50.668953,-0.3190867
1090181818.1818,-42.500854,0.08247941,0.087557636,50.671749,-0.34433794
1090909090.9091,-42.505634,0.084146731,0.11017656,50.675236,-0.33658066
1091636363.6364,-42.489532,0.08322043,0.10565595,50.679482,-0.3312059
1092363636.3636,-42.384499,0.084966518,0.088618405,50.673508,-0.36289683
1093090909.0909,-42.324917,0.08577127,0.07374388,50.674282,-0.37249443
1093818181.8182,-42.401588,0.082389876,0.059673689,50.65419,-0.39347789
1094545454.5455,-42.374767,0.08429113,0.05892425,50.656563,-0.3941488
1095272727.2727,-42.344238,0.085654199,0.046847429,50.648083,-0.41286588
1096000000,-42.536118,0.080945291,0.031333491,50.617928,-0.42752102
1096727272.7273,-42.53236,0.081209451,0.037165929,50.618912,-0.42668119
1097454545.4545,-42.762043,0.083535656,0.046412844,50.588329,-0.43536344
1098181818.1818,-42.989799,0.082110576,0.031593528,50.57127,-0.42635974
1098909090.9091,-43.356312,0.080185331,0.019309284,50.544487,-0.41266727
1099636363.6364,-43.647614,0.079980724,0.039803486,50.5117,-0.41756001
1100363636.3636,-42.958054,0.079342522,0.028003352,50.543839,-0.46456066
1101090909.0909,-43.764301,0.071733631,0.016508643,50.483696,-0.43638292
1101818181.8182,-43.839314,0.075297199,0.030557172,50.490559,-0.42015854
1102545454.5455,-43.745487,0.0741271,0.017506592,50.479382,-0.44316006
1103272727.2727,-44.621189,0.074301139,0.061775252,50.444458,-0.38805184
1104000000,-44.610287,0.068508469,0.015894465,50.453777,-0.37835833
1104727272.7273,-44.572422,0.074318714,0.028407762,50.4506,-0.38608891
1105454545.4545,-45.040867,0.070449963,0.043459587,50.416649,-0.37721702
1106181818.1818,-44.495678,0.069837764,0.058359545,50.458645,-0.38481623
1106909090.9091,-44.965633,0.074872449,0.064939834,50.448078,-0.34761128
1107636363.6364,-44.652733,0.076347284,0.050135415,50.467457,-0.35672268
1108363636.3636,-45.091839,0.074469261,0.066388607,50.438343,-0.34668064
1109090909.0909,-44.932007,0.072941981,0.049085896,50.439632,-0.36162761
1109818181.8182,-45.065536,0.072262831,0.045725733,50.429703,-0.35990417
1110545454.5455,-44.837975,0.072589003,0.050898299,50.421227,-0.39190552
1111272727.2727,-45.193607,0.074514747,0.055631813,50.396,-0.38474464
1112000000,-45.234444,0.07524918,0.043396398,50.409554,-0.36652184
1112727272.7273,-45.248398,0.07443808,0.042311121,50.401814,-0.37363526
1113454545.4545,-45.485382,0.072149418,0.057409309,50.396221,-0.35783759
1114181818.1818,-45.847576,0.073266782,0.043508608,50.37347,-0.35018718
1114909090.9091,-45.538296,0.071864024,0.032090493,50.377327,-0.37296668
1115636363.6364,-45.712982,0.072492175,0.028410658,50.357292,-0.37764427
1116363636.3636,-45.766228,0.070372924,0.03324734,50.349838,-0.38020912
1117090909.0909,-46.183037,0.071119353,0.01245926,50.334358,-0.3614451
1117818181.8182,-46.689716,0.071871154,0.014432357,50.293182,-0.36001149
1118545454.5455,-46.941628,0.070845336,0.017444981,50.291477,-0.34416544
1119272727.2727,-47.015141,0.071907997,0.040838126,50.302673,-0.32928494
1120000000,-46.92981,0.064350262,0.021637769,50.28006,-0.35423943
1120727272.7273,-47.385399,0.067671873,0.039419483,50.272346,-0.33077061
1121454545.4545,-47.732037,0.06838315,0.042638298,50.247337,-0.32899877
1122181818.1818,-48.022053,0.062766813,0.029508729,50.237865,-0.31915271
1122909090.9091,-48.685585,0.065055534,0.054545701,50.217957,-0.29737493
1123636363.6364,-48.356579,0.060510494,0.044129338,50.218952,-0.31416434
1124363636.3636,-48.86208,0.062563963,0.067110442,50.190533,-0.30683917
1125090909.0909,-49.069321,0.060947441,0.051840592,50.200825,-0.28994131
1125818181.8182,-49.295563,0.060802825,0.072751433,50.200062,-0.27938336
1126545454.5455,-50.162327,0.062163476,0.074938662,50.188446,-0.24735203
1127272727.2727,-49.983135,0.064448819,0.059108004,50.208092,-0.23980434
1128000000,-50.653816,0.065665148,0.068446778,50.18821,-0.2256646
1128727272.7273,-50.438591,0.063024618,0.083219498,50.197571,-0.22741428
1129454545.4545,-49.912502,0.065331459,0.085099839,50.218781,-0.23370302
1130181818.1818,-50.448067,0.064547546,0.081546947,50.209435,-0.21613556
1130909090.9091,-50.510754,0.067965239,0.094722681,50.20314,-0.21909268
1131636363.6364,-50.310574,0.066621155,0.080656148,50.17709,-0.24913335
1132363636.3636,-49.813129,0.067332007,0.057185519,50.200356,-0.25431135
1133090909.0909,-50.172554,0.068415478,0.08271341,50.199234,-0.23831485
1133818181.8182,-50.357128,0.06527736,0.066443443,50.186623,-0.24004592
1134545454.5455,-49.448399,0.062968247,0.04887154,50.20129,-0.2710785
1135272727.2727,-49.862492,0.064381592,0.048972111,50.185619,-0.26295495
1136000000,-49.814041,0.0676791,0.048603225,50.139214,-0.29203981
1136727272.7273,-49.513737,0.062965281,0.041228402,50.144855,-0.30197576
1137454545.4545,-50.055378,0.064919896,0.025768092,50.13554,-0.28395653
1138181818.1818,-50.104366,0.059384059,0.029096702,50.126709,-0.28604126
1138909090.9091,-50.167599,0.059453469,0.052796848,50.093807,-0.29596695
1139636363.6364,-50.828812,0.061822932,0.048157696,50.101112,-0.26938781
1140363636.3636,-51.197777,0.059612628,0.058174342,50.090771,-0.26037526
1141090909.0909,-51.908844,0.058276962,0.071744122,50.065422,-0.24543451
1141818181.8182,-52.16235,0.058853772,0.065125525,50.044769,-0.24255092
1142545454.5455,-52.862251,0.05513557,0.061552819,50.042755,-0.22349536
1143272727.2727,-52.692455,0.055597715,0.083917983,50.042389,-0.22813436
1144000000,-52.888496,0.056289103,0.10833205,50.049561,-0.22139831
1144727272.7273,-53.621803,0.051553395,0.083625697,50.040825,-0.20445514
1145454545.4545,-55.193848,0.054446276,0.10786242,50.025135,-0.17212184
1146181818.1818,-55.197998,0.05563695,0.10128185,50.059925,-0.1632746
1146909090.9091,-56.298126,0.056375075,0.1356491,50.009209,-0.15287864
1147636363.6364,-56.167454,0.057472475,0.11984194,50.061333,-0.1429556
1148363636.3636,-56.725872,0.055101745,0.13079503,50.078701,-0.12284978
