!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 11:57:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S21(REAL),S21(IMAG),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG)
1086000000,0.82222408,-0.60012633,0.00042891275,0.00032237743,0.00042891275,0.00032237743,0.82222408,-0.60012633
1087000000,0.82131672,-0.60019898,1.2975234e-005,-2.229938e-005,1.2975234e-005,-2.229938e-005,0.82131672,-0.60019898
1088000000,0.82060981,-0.59874463,-6.7053938e-005,-7.0290494e-005,-6.7053938e-005,-7.0290494e-005,0.82060981,-0.59874463
1089000000,0.82087594,-0.59766006,-6.2190375e-005,0.00014344585,-6.2190375e-005,0.00014344585,0.82087594,-0.59766006
1090000000,0.81947583,-0.59814477,7.101029e-005,-7.4061272e-006,7.101029e-005,-7.4061272e-006,0.81947583,-0.59814477
1091000000,0.82067651,-0.59765971,8.9648667e-005,0.00030741718,8.9648667e-005,0.00030741718,0.82067651,-0.59765971
1092000000,0.81896347,-0.59761506,3.4747307e-005,-0.00014505663,3.4747307e-005,-0.00014505663,0.81896347,-0.59761506
1093000000,0.81801814,-0.59808034,-1.8538891e-005,-0.00011965496,-1.8538891e-005,-0.00011965496,0.81801814,-0.59808034
1094000000,0.81743979,-0.59734929,2.8520322e-005,0.00026773184,2.8520322e-005,0.00026773184,0.81743979,-0.59734929
1095000000,0.81566852,-0.59622502,0.00022934671,0.00030245417,0.00022934671,0.00030245417,0.81566852,-0.59622502
1096000000,0.81579983,-0.59691805,7.1895788e-006,0.00015980443,7.1895788e-006,0.00015980443,0.81579983,-0.59691805
1097000000,0.81396246,-0.59852189,-0.00027391521,-7.7774457e-005,-0.00027391521,-7.7774457e-005,0.81396246,-0.59852189
1098000000,0.81541252,-0.59866589,-0.0001617005,1.5741052e-005,-0.0001617005,1.5741052e-005,0.81541252,-0.59866589
1099000000,0.8135196,-0.59759915,8.800871e-006,-3.694135e-005,8.800871e-006,-3.694135e-005,0.8135196,-0.59759915
1100000000,0.81415796,-0.59970051,0.00010437961,6.1205486e-005,0.00010437961,6.1205486e-005,0.81415796,-0.59970051
1101000000,0.81366873,-0.59539127,0.00016357763,2.295812e-005,0.00016357763,2.295812e-005,0.81366873,-0.59539127
1102000000,0.81230634,-0.59810072,-5.2657255e-005,-4.1852883e-005,-5.2657255e-005,-4.1852883e-005,0.81230634,-0.59810072
1103000000,0.81077665,-0.59565401,-2.2719329e-005,0.00016373467,-2.2719329e-005,0.00016373467,0.81077665,-0.59565401
1104000000,0.81044269,-0.59682566,-0.00015808691,2.3994862e-005,-0.00015808691,2.3994862e-005,0.81044269,-0.59682566
1105000000,0.8109042,-0.59484035,-0.00010120255,-4.3762728e-005,-0.00010120255,-4.3762728e-005,0.8109042,-0.59484035
1106000000,0.81236678,-0.59576917,-0.00023164551,0.00010456875,-0.00023164551,0.00010456875,0.81236678,-0.59576917
1107000000,0.81126302,-0.59573644,0.00011506058,9.7194243e-005,0.00011506058,9.7194243e-005,0.81126302,-0.59573644
1108000000,0.80891973,-0.59680629,9.6623089e-006,-0.00014426575,9.6623089e-006,-0.00014426575,0.80891973,-0.59680629
1109000000,0.80913037,-0.5947274,4.28239e-005,0.00021903122,4.28239e-005,0.00021903122,0.80913037,-0.5947274
1110000000,0.80912369,-0.59756219,3.2627067e-005,0.00024991325,3.2627067e-005,0.00024991325,0.80912369,-0.59756219
1111000000,0.80744267,-0.5946883,-5.458259e-005,0.00022825069,-5.458259e-005,0.00022825069,0.80744267,-0.5946883
1112000000,0.81066293,-0.59597993,-0.00010062625,-0.00015058889,-0.00010062625,-0.00015058889,0.81066293,-0.59597993
1113000000,0.8085919,-0.5961386,-0.00022991751,-7.7348457e-005,-0.00022991751,-7.7348457e-005,0.8085919,-0.5961386
1114000000,0.80883354,-0.59787846,-6.8706926e-005,0.00015792764,-6.8706926e-005,0.00015792764,0.80883354,-0.59787846
1115000000,0.8082962,-0.59535724,0.00023701627,0.00028810027,0.00023701627,0.00028810027,0.8082962,-0.59535724
1116000000,0.80485302,-0.59929085,1.7527866e-005,3.2294072e-005,1.7527866e-005,3.2294072e-005,0.80485302,-0.59929085
1117000000,0.80805254,-0.59744531,0.00030849202,0.00017628694,0.00030849202,0.00017628694,0.80805254,-0.59744531
1118000000,0.80648041,-0.59875029,-0.00019517116,0.0002201301,-0.00019517116,0.0002201301,0.80648041,-0.59875029
1119000000,0.80539328,-0.59739929,0.0001850455,-0.00014261434,0.0001850455,-0.00014261434,0.80539328,-0.59739929
1120000000,0.80541366,-0.59866679,0.00035969692,0.000245417,0.00035969692,0.000245417,0.80541366,-0.59866679
1121000000,0.80622679,-0.59787768,6.1879626e-005,-0.00028222657,6.1879626e-005,-0.00028222657,0.80622679,-0.59787768
1122000000,0.80723506,-0.59833181,-0.00026462207,0.00020033414,-0.00026462207,0.00020033414,0.80723506,-0.59833181
1123000000,0.80515838,-0.59850079,-2.4099247e-005,-8.3298895e-005,-2.4099247e-005,-8.3298895e-005,0.80515838,-0.59850079
1124000000,0.80397123,-0.59856278,2.3441482e-006,-0.00013746864,2.3441482e-006,-0.00013746864,0.80397123,-0.59856278
1125000000,0.80483687,-0.60071558,-3.5387515e-005,-9.2500857e-005,-3.5387515e-005,-9.2500857e-005,0.80483687,-0.60071558
1126000000,0.80350572,-0.60187519,-0.0001892752,5.9967399e-005,-0.0001892752,5.9967399e-005,0.80350572,-0.60187519
