Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
2.536,-0.673799305,-0.700857793,-1.378020466,-9.396651107,-4.259075049,-1.415548912,-0.695565266,-0.553472885,-6.720295062,-0.779250883,-3.512613316,-1.922499116,-1.039309705,-1.183908424,-1.795716151,,,,,,,,,,,,,,,
2.537,-0.675007546,-0.702186487,-1.381592895,-9.447699995,-4.244943817,-1.413059444,-0.695146349,-0.553606155,-6.586541078,-0.778343094,-3.4988988,-1.927706783,-1.0461342,-1.189040696,-1.799841034,,,,,,,,,,,,,,,
2.538,-0.676221207,-0.70351789,-1.385179738,-9.499126767,-4.230889578,-1.410584742,-0.694729265,-0.553741449,-6.457012068,-0.777443288,-3.485223988,-1.932929013,-1.053095721,-1.194288426,-1.803814474,,,,,,,,,,,,,,,
2.539,-0.677440309,-0.704852009,-1.388781074,-9.550935535,-4.216911762,-1.408124771,-0.694313997,-0.553878774,-6.331542715,-0.776551404,-3.471590993,-1.938165706,-1.060196942,-1.199654035,-1.807634815,,,,,,,,,,,,,,,
2.54,-0.678664869,-0.70618885,-1.392396982,-9.603130487,-4.203009801,-1.405679497,-0.693900531,-0.55401814,-6.209976248,-0.775667384,-3.458001861,-1.943416762,-1.067440602,-1.205140004,-1.811300579,,,,,,,,,,,,,,,
2.541,-0.679894908,-0.707528422,-1.396027544,-9.655715884,-4.189183135,-1.403248887,-0.693488849,-0.554159554,-6.092163832,-0.774791166,-3.444458564,-1.94868208,-1.0748295,-1.210748869,-1.814810466,,,,,,,,,,,,,,,
2.542,-0.681130444,-0.708870732,-1.399672839,-9.708696068,-4.175431205,-1.400832906,-0.693078936,-0.554303025,-5.977964022,-0.773922694,-3.430963005,-1.953961559,-1.082366496,-1.216483224,-1.818163359,,,,,,,,,,,,,,,
2.543,-0.682371498,-0.710215788,-1.403332949,-9.762075458,-4.161753456,-1.398431519,-0.692670775,-0.554448563,-5.867242251,-0.773061909,-3.41751702,-1.959255099,-1.090054518,-1.222345726,-1.821358321,,,,,,,,,,,,,,,
2.544,-0.683618088,-0.711563597,-1.407007956,-9.815858557,-4.148149341,-1.39604469,-0.692264351,-0.554596177,-5.759870384,-0.772208754,-3.404122376,-1.964562598,-1.097896555,-1.228339091,-1.824394604,,,,,,,,,,,,,,,
2.545,-0.684870234,-0.712914167,-1.410697943,-9.870049952,-4.134618314,-1.393672384,-0.691859647,-0.554745877,-5.655726292,-0.771363171,-3.390780776,-1.969883955,-1.105895668,-1.234466099,-1.827271646,,,,,,,,,,,,,,,
2.546,-0.686127955,-0.714267508,-1.414402993,-9.924654317,-4.121159834,-1.391314566,-0.691456647,-0.554897671,-5.55469348,-0.770525104,-3.377493856,-1.975219067,-1.114054981,-1.240729591,-1.829989074,,,,,,,,,,,,,,,
2.547,-0.687391271,-0.715623626,-1.418123189,-9.979676412,-4.107773365,-1.3889712,-0.691055335,-0.55505157,-5.456660731,-0.769694499,-3.364263189,-1.980567833,-1.122377692,-1.247132477,-1.832546703,,,,,,,,,,,,,,,
2.548,-0.688660201,-0.716982531,-1.421858614,-10.03512109,-4.094458375,-1.386642249,-0.690655694,-0.555207583,-5.361521792,-0.768871299,-3.351090283,-1.98593015,-1.130867067,-1.25367773,-1.834944537,,,,,,,,,,,,,,,
2.549,-0.689934764,-0.718344231,-1.425609354,-10.0909933,-4.081214335,-1.384327677,-0.690257709,-0.555365722,-5.269175075,-0.76805545,-3.337976587,-1.991305916,-1.139526445,-1.260368393,-1.837182771,,,,,,,,,,,,,,,
2.55,-0.691214979,-0.719708736,-1.429375493,-10.14729808,-4.068040723,-1.382027447,-0.689861363,-0.555525995,-5.179523391,-0.767246898,-3.324923489,-1.996695027,-1.148359241,-1.267207576,-1.839261784,,,,,,,,,,,,,,,
2.551,-0.692500866,-0.721076054,-1.433157117,-10.20404057,-4.054937018,-1.379741522,-0.689466639,-0.555688414,-5.092473698,-0.76644559,-3.311932317,-2.002097381,-1.157368942,-1.274198462,-1.841182145,,,,,,,,,,,,,,,
2.552,-0.693792444,-0.722446194,-1.436954311,-10.26122601,-4.041902704,-1.377469866,-0.689073521,-0.55585299,-5.007936868,-0.765651473,-3.299004339,-2.007512874,-1.166559113,-1.281344304,-1.842944609,,,,,,,,,,,,,,,
2.553,-0.695089731,-0.723819166,-1.440767163,-10.31885975,-4.028937272,-1.375212439,-0.688681993,-0.556019732,-4.925827478,-0.764864495,-3.28614077,-2.012941403,-1.175933398,-1.288648429,-1.844550112,,,,,,,,,,,,,,,
2.554,-0.696392749,-0.725194979,-1.44459576,-10.37694724,-4.016040213,-1.372969205,-0.688292039,-0.556188653,-4.84606361,-0.764084605,-3.273342765,-2.018382863,-1.185495518,-1.296114238,-1.845999774,,,,,,,,,,,,,,,
2.555,-0.697701515,-0.726573644,-1.448440188,-10.43549404,-4.003211025,-1.370740126,-0.687903641,-0.556359764,-4.768566664,-0.763311752,-3.260611428,-2.023837152,-1.195249278,-1.303745208,-1.84729489,,,,,,,,,,,,,,,
2.556,-0.699016048,-0.72795517,-1.452300536,-10.49450583,-3.990449209,-1.368525162,-0.687516783,-0.556533075,-4.693261193,-0.762545885,-3.247947806,-2.029304163,-1.205198563,-1.311544896,-1.848436934,,,,,,,,,,,,,,,
2.557,-0.700336369,-0.729339566,-1.456176893,-10.55398839,-3.977754271,-1.366324277,-0.687131449,-0.556708599,-4.620074739,-0.761786955,-3.235352897,-2.034783794,-1.215347343,-1.319516934,-1.84942755,,,,,,,,,,,,,,,
2.558,-0.701662496,-0.730726845,-1.460069348,-10.61394764,-3.965125719,-1.36413743,-0.686747622,-0.556886348,-4.548937686,-0.761034914,-3.222827645,-2.040275938,-1.225699672,-1.327665038,-1.850268549,,,,,,,,,,,,,,,
2.559,-0.702994448,-0.732117015,-1.46397799,-10.6743896,-3.952563067,-1.361964583,-0.686365285,-0.557066334,-4.479783118,-0.760289712,-3.210372946,-2.045780492,-1.236259693,-1.335993004,-1.850961909,,,,,,,,,,,,,,,
2.56,-0.704332244,-0.733510087,-1.467902909,-10.73532043,-3.940065833,-1.359805696,-0.685984422,-0.557248568,-4.412546696,-0.759551302,-3.197989646,-2.05129735,-1.247031636,-1.344504713,-1.851509764,,,,,,,,,,,,,,,
2.561,-0.705675904,-0.734906073,-1.471844197,-10.79674642,-3.927633538,-1.35766073,-0.685605017,-0.557433063,-4.347166528,-0.758819637,-3.185678545,-2.056826405,-1.258019821,-1.353204128,-1.851914405,,,,,,,,,,,,,,,
2.562,-0.707025447,-0.736304983,-1.475801945,-10.85867399,-3.915265708,-1.355529646,-0.685227052,-0.557619832,-4.283583061,-0.758094671,-3.173440394,-2.062367554,-1.269228658,-1.362095303,-1.852178272,,,,,,,,,,,,,,,
2.563,-0.708380892,-0.737706828,-1.479776244,-10.9211097,-3.902961873,-1.353412402,-0.68485051,-0.557808888,-4.221738968,-0.757376358,-3.161275901,-2.067920689,-1.280662651,-1.371182375,-1.852303949,,,,,,,,,,,,,,,
2.564,-0.709742258,-0.739111621,-1.483767187,-10.98406023,-3.890721565,-1.351308959,-0.684475376,-0.558000244,-4.161579054,-0.756664653,-3.149185728,-2.073485705,-1.292326396,-1.380469574,-1.852294159,,,,,,,,,,,,,,,
2.565,-0.711109564,-0.740519371,-1.487774866,-11.04753244,-3.878544324,-1.349219277,-0.684101633,-0.558193912,-4.103050153,-0.755959511,-3.137170496,-2.079062495,-1.304224588,-1.389961221,-1.85215176,,,,,,,,,,,,,,,
2.566,-0.712482829,-0.741930092,-1.491799375,-11.11153331,-3.86642969,-1.347143314,-0.683729263,-0.558389907,-4.046101043,-0.75526089,-3.125230783,-2.084650953,-1.316362016,-1.399661727,-1.851879735,,,,,,,,,,,,,,,
2.567,-0.713862073,-0.743343795,-1.495840808,-11.17606999,-3.854377208,-1.34508103,-0.68335825,-0.558588242,-3.990682361,-0.754568746,-3.113367124,-2.090250971,-1.328743566,-1.409575599,-1.85148119,,,,,,,,,,,,,,,
2.568,-0.715247313,-0.744760493,-1.499899259,-11.24114979,-3.842386429,-1.343032384,-0.682988577,-0.55878893,-3.936746521,-0.753883037,-3.101580019,-2.095862444,-1.341374227,-1.419707439,-1.850959346,,,,,,,,,,,,,,,
2.569,-0.716638571,-0.746180197,-1.503974824,-11.30678017,-3.830456906,-1.340997333,-0.682620227,-0.558991986,-3.884247641,-0.753203721,-3.089869925,-2.101485263,-1.354259085,-1.430061946,-1.850317534,,,,,,,,,,,,,,,
2.57,-0.718035863,-0.74760292,-1.508067597,-11.37296877,-3.818588195,-1.338975837,-0.682253184,-0.559197424,-3.833141469,-0.752530758,-3.078237263,-2.107119321,-1.367403331,-1.440643917,-1.849559184,,,,,,,,,,,,,,,
2.571,-0.719439211,-0.749028675,-1.512177675,-11.43972338,-3.806779859,-1.336967853,-0.68188743,-0.559405259,-3.783385315,-0.751864107,-3.066682418,-2.112764511,-1.380812256,-1.45145825,-1.848687828,,,,,,,,,,,,,,,
2.572,-0.720848631,-0.750457475,-1.516305155,-11.50705201,-3.795031462,-1.33497334,-0.68152295,-0.559615504,-3.734937989,-0.751203729,-3.055205739,-2.118420725,-1.394491259,-1.462509943,-1.847707084,,,,,,,,,,,,,,,
2.573,-0.722264145,-0.751889333,-1.520450133,-11.57496282,-3.783342573,-1.332992254,-0.681159726,-0.559828175,-3.687759736,-0.750549585,-3.043807541,-2.124087854,-1.408445842,-1.473804098,-1.846620655,,,,,,,,,,,,,,,
2.574,-0.72368577,-0.753324262,-1.524612708,-11.64346417,-3.771712765,-1.331024555,-0.68079774,-0.560043287,-3.641812182,-0.749901638,-3.032488104,-2.129765791,-1.422681612,-1.485345921,-1.845432321,,,,,,,,,,,,,,,
2.575,-0.725113526,-0.754762276,-1.528792977,-11.71256461,-3.760141614,-1.329070198,-0.680436978,-0.560260855,-3.597058275,-0.74925985,-3.021247678,-2.135454427,-1.437204287,-1.497140723,-1.844145931,,,,,,,,,,,,,,,
2.576,-0.726547432,-0.756203389,-1.532991039,-11.7822729,-3.748628701,-1.327129141,-0.680077421,-0.560480894,-3.553462235,-0.748624184,-3.010086479,-2.141153653,-1.452019691,-1.50919392,-1.842765402,,,,,,,,,,,,,,,
2.577,-0.727987506,-0.757647614,-1.537206994,-11.852598,-3.73717361,-1.325201341,-0.679719052,-0.560703421,-3.510989502,-0.747994606,-2.999004695,-2.14686336,-1.467133756,-1.521511041,-1.841294707,,,,,,,,,,,,,,,
2.578,-0.729433769,-0.759094966,-1.541440942,-11.9235491,-3.725775929,-1.323286754,-0.679361855,-0.560928451,-3.469606691,-0.74737108,-2.988002482,-2.15258344,-1.482552526,-1.534097719,-1.839737869,,,,,,,,,,,,,,,
2.579,-0.730886238,-0.76054546,-1.545692983,-11.9951356,-3.71443525,-1.321385337,-0.679005814,-0.561155999,-3.429281543,-0.746753571,-2.977079969,-2.158313782,-1.498282155,-1.546959699,-1.83809896,,,,,,,,,,,,,,,
2.58,-0.732344932,-0.761999109,-1.549963217,-12.06736712,-3.703151169,-1.319497046,-0.67865091,-0.561386083,-3.389982882,-0.746142047,-2.966237258,-2.164054278,-1.514328905,-1.560102841,-1.83638209,,,,,,,,,,,,,,,
2.581,-0.733809872,-0.763455928,-1.554251747,-12.14025354,-3.691923283,-1.317621837,-0.678297128,-0.561618719,-3.351680578,-0.745536476,-2.955474422,-2.169804818,-1.530699153,-1.573533112,-1.834591403,,,,,,,,,,,,,,,
2.582,-0.735281075,-0.764915933,-1.558558675,-12.21380495,-3.680751197,-1.315759666,-0.67794445,-0.561853923,-3.3143455,-0.744936824,-2.944791509,-2.175565292,-1.547399385,-1.587256596,-1.832731073,,,,,,,,,,,,,,,
2.583,-0.736758561,-0.766379138,-1.562884102,-12.28803173,-3.669634518,-1.313910488,-0.67759286,-0.562091713,-3.277949485,-0.744343062,-2.934188542,-2.18133559,-1.564436199,-1.60127949,-1.830805294,,,,,,,,,,,,,,,
2.584,-0.738242349,-0.76784556,-1.567228133,-12.36294449,-3.658572854,-1.312074259,-0.67724234,-0.562332105,-3.242465297,-0.743755159,-2.923665522,-2.187115601,-1.581816305,-1.615608107,-1.828818278,,,,,,,,,,,,,,,
2.585,-0.739732458,-0.769315214,-1.571590871,-12.43855413,-3.647565821,-1.310250935,-0.676892875,-0.562575117,-3.207866596,-0.743173086,-2.913222422,-2.192905215,-1.599546522,-1.630248875,-1.826774251,,,,,,,,,,,,,,,
2.586,-0.741228906,-0.770788115,-1.57597242,-12.51487182,-3.636613037,-1.308440469,-0.676544446,-0.562820767,-3.174127901,-0.742596814,-2.902859198,-2.198704321,-1.617633783,-1.645208339,-1.824677443,,,,,,,,,,,,,,,
2.587,-0.742731713,-0.77226428,-1.580372884,-12.59190901,-3.625714121,-1.306642818,-0.676197038,-0.563069072,-3.141224562,-0.742026315,-2.892575779,-2.204512809,-1.636085129,-1.66049316,-1.822532089,,,,,,,,,,,,,,,
2.588,-0.744240898,-0.773743726,-1.584792371,-12.66967746,-3.614868701,-1.304857936,-0.675850633,-0.56332005,-3.109132727,-0.741461563,-2.882372078,-2.210330567,-1.654907711,-1.676110117,-1.820342421,,,,,,,,,,,,,,,
2.589,-0.745756479,-0.775226467,-1.589230984,-12.74818923,-3.604076402,-1.303085777,-0.675505215,-0.56357372,-3.077829314,-0.740902532,-2.872247983,-2.216157484,-1.674108788,-1.692066105,-1.818112662,,,,,,,,,,,,,,,
2.59,-0.747278476,-0.776712523,-1.593688831,-12.8274567,-3.59333686,-1.301326295,-0.675160767,-0.563830099,-3.047291981,-0.740349196,-2.862203367,-2.221993449,-1.693695725,-1.708368137,-1.815847028,,,,,,,,,,,,,,,
2.591,-0.748806908,-0.778201909,-1.598166019,-12.90749259,-3.582649707,-1.299579446,-0.674817272,-0.564089208,-3.017499104,-0.739801532,-2.852238082,-2.227838349,-1.713675995,-1.725023342,-1.813549716,,,,,,,,,,,,,,,
2.592,-0.750341793,-0.779694642,-1.602662655,-12.98830994,-3.572014585,-1.297845182,-0.674474713,-0.564351063,-2.988429747,-0.739259516,-2.842351963,-2.233692073,-1.734057172,-1.742038968,-1.811224907,,,,,,,,,,,,,,,
2.593,-0.751883151,-0.78119074,-1.607178847,-13.06992217,-3.561431136,-1.296123457,-0.674133074,-0.564615685,-2.960063636,-0.738723125,-2.832544826,-2.239554509,-1.754846933,-1.759422378,-1.808876759,,,,,,,,,,,,,,,
2.594,-0.753431001,-0.782690221,-1.611714705,-13.15234305,-3.550899006,-1.294414226,-0.673792337,-0.564883093,-2.932381143,-0.738192338,-2.822816472,-2.245425545,-1.776053055,-1.777181048,-1.806509405,,,,,,,,,,,,,,,
2.595,-0.754985361,-0.784193103,-1.616270336,-13.23558672,-3.540417845,-1.292717442,-0.673452487,-0.565153307,-2.905363253,-0.737667134,-2.813166688,-2.251305067,-1.797683407,-1.795322573,-1.80412695,,,,,,,,,,,,,,,
2.596,-0.756546251,-0.785699404,-1.620845852,-13.31966774,-3.529987306,-1.291033057,-0.673113506,-0.565426345,-2.878991551,-0.737147493,-2.803595242,-2.257192963,-1.819745957,-1.813854656,-1.801733466,,,,,,,,,,,,,,,
2.597,-0.758113689,-0.787209141,-1.625441362,-13.40460106,-3.519607047,-1.289361026,-0.672775378,-0.565702229,-2.853248195,-0.736633397,-2.794101889,-2.263089121,-1.842248759,-1.832785117,-1.799332992,,,,,,,,,,,,,,,
2.598,-0.759687695,-0.788722334,-1.630056977,-13.49040206,-3.509276727,-1.287701301,-0.672438087,-0.565980979,-2.8281159,-0.736124828,-2.784686372,-2.268993427,-1.865199953,-1.852121882,-1.796929531,,,,,,,,,,,,,,,
2.599,-0.761268288,-0.790239002,-1.634692808,-13.57708656,-3.498996011,-1.286053835,-0.672101615,-0.566262614,-2.803577917,-0.735621767,-2.775348418,-2.274905767,-1.888607761,-1.871872985,-1.794527048,,,,,,,,,,,,,,,
2.6,-0.762855486,-0.791759163,-1.639348968,-13.66467082,-3.488764565,-1.28441858,-0.671765946,-0.566547156,-2.779618012,-0.735124201,-2.766087743,-2.280826029,-1.912480482,-1.892046568,-1.792129468,,,,,,,,,,,,,,,
2.601,-0.764449309,-0.793282838,-1.644025569,-13.7531716,-3.47858206,-1.282795489,-0.671431063,-0.566834626,-2.756220452,-0.734632113,-2.75690405,-2.286754098,-1.936826486,-1.912650873,-1.789740671,,,,,,,,,,,,,,,
2.602,-0.766049775,-0.794810044,-1.648722724,-13.84260613,-3.468448171,-1.281184516,-0.671096951,-0.567125044,-2.733369986,-0.734145489,-2.747797031,-2.292689861,-1.961654208,-1.933694244,-1.787364497,,,,,,,,,,,,,,,
2.603,-0.767656904,-0.796340803,-1.653440547,-13.93299216,-3.458362574,-1.27958561,-0.670763592,-0.567418433,-2.71105183,-0.733664316,-2.738766367,-2.298633203,-1.986972142,-1.955185118,-1.785004741,,,,,,,,,,,,,,,
2.604,-0.769270715,-0.797875134,-1.658179152,-14.02434796,-3.44832495,-1.277998726,-0.67043097,-0.567714813,-2.689251646,-0.733188582,-2.729811728,-2.30458401,-2.012788836,-1.977132026,-1.782665148,,,,,,,,,,,,,,,
2.605,-0.770891226,-0.799413057,-1.662938653,-14.11669236,-3.438334984,-1.276423814,-0.670099068,-0.568014207,-2.667955534,-0.732718276,-2.720932775,-2.310542167,-2.03911288,-1.999543587,-1.780349422,,,,,,,,,,,,,,,
2.606,-0.772518457,-0.800954593,-1.667719166,-14.21004477,-3.428392363,-1.274860828,-0.669767871,-0.568316637,-2.647150013,-0.732253388,-2.712129159,-2.31650756,-2.065952901,-2.022428501,-1.778061216,,,,,,,,,,,,,,,
2.607,-0.774152428,-0.802499763,-1.672520807,-14.30442519,-3.418496777,-1.273309717,-0.669437362,-0.568622125,-2.626822005,-0.731793908,-2.703400523,-2.322480073,-2.093317557,-2.045795547,-1.775804135,,,,,,,,,,,,,,,
2.608,-0.775793156,-0.804048587,-1.677343692,-14.39985422,-3.408647921,-1.271770434,-0.669107524,-0.568930694,-2.606958826,-0.731339828,-2.694746499,-2.328459592,-2.121215519,-2.069653576,-1.773581738,,,,,,,,,,,,,,,
2.609,-0.777440661,-0.805601088,-1.682187937,-14.49635314,-3.398845492,-1.27024293,-0.668778342,-0.569242367,-2.587548171,-0.730891142,-2.686166714,-2.334446001,-2.149655468,-2.094011502,-1.771397533,,,,,,,,,,,,,,,
2.61,-0.779094962,-0.807157285,-1.687053662,-14.59394388,-3.389089191,-1.268727157,-0.668449799,-0.569557166,-2.568578099,-0.730447843,-2.677660788,-2.340439183,-2.178646082,-2.118878299,-1.769254981,,,,,,,,,,,,,,,
2.611,-0.780756078,-0.808717202,-1.691940982,-14.69264906,-3.379378722,-1.267223066,-0.668121878,-0.569875115,-2.550037025,-0.730009926,-2.66922833,-2.346439024,-2.208196022,-2.144262989,-1.767157494,,,,,,,,,,,,,,,
2.612,-0.782424029,-0.81028086,-1.696850018,-14.79249207,-3.369713791,-1.265730607,-0.667794565,-0.570196238,-2.531913703,-0.729577387,-2.660868946,-2.352445407,-2.238313923,-2.170174638,-1.765108438,,,,,,,,,,,,,,,
2.613,-0.784098833,-0.811848281,-1.701780887,-14.89349701,-3.360094109,-1.264249732,-0.667467842,-0.570520559,-2.514197221,-0.729150224,-2.652582235,-2.358458215,-2.269008375,-2.196622345,-1.76311113,,,,,,,,,,,,,,,
2.614,-0.785780509,-0.813419487,-1.70673371,-14.9956888,-3.35051939,-1.262780391,-0.667141694,-0.5708481,-2.496876985,-0.728728434,-2.64436779,-2.364477333,-2.300287913,-2.223615229,-1.76116884,,,,,,,,,,,,,,,
2.615,-0.787469078,-0.814994502,-1.711708607,-15.09909319,-3.34098935,-1.261322535,-0.666816104,-0.571178888,-2.47994271,-0.728312017,-2.636225198,-2.370502643,-2.332160998,-2.251162424,-1.759284793,,,,,,,,,,,,,,,
2.616,-0.789164557,-0.816573349,-1.716705699,-15.20373678,-3.331503709,-1.259876115,-0.666491057,-0.571512947,-2.46338441,-0.727900974,-2.628154043,-2.376534028,-2.364636004,-2.279273063,-1.757462169,,,,,,,,,,,,,,,
2.617,-0.790866966,-0.818156049,-1.721725107,-15.30964707,-3.322062191,-1.258441081,-0.666166537,-0.5718503,-2.447192391,-0.727495305,-2.620153903,-2.382571371,-2.397721195,-2.307956268,-1.755704103,,,,,,,,,,,,,,,
2.618,-0.792576325,-0.819742628,-1.726766952,-15.4168525,-3.312664522,-1.257017383,-0.665842528,-0.572190974,-2.431357234,-0.727095014,-2.612224351,-2.388614554,-2.431424709,-2.337221136,-1.754013689,,,,,,,,,,,,,,,
2.619,-0.794292652,-0.821333109,-1.731831357,-15.52538249,-3.30331043,-1.255604972,-0.665519014,-0.572534994,-2.415869796,-0.726700104,-2.604364957,-2.39466346,-2.465754539,-2.367076723,-1.752393977,,,,,,,,,,,,,,,
2.62,-0.796015966,-0.822927516,-1.736918446,-15.6352675,-3.293999648,-1.254203798,-0.66519598,-0.572882385,-2.400721192,-0.726310581,-2.59657529,-2.40071797,-2.500718509,-2.397532031,-1.750847979,,,,,,,,,,,,,,,
2.621,-0.797746288,-0.824525872,-1.74202834,-15.74653904,-3.284731913,-1.252813811,-0.66487341,-0.573233174,-2.385902793,-0.725926449,-2.588854911,-2.406777967,-2.536324251,-2.428595992,-1.749378668,,,,,,,,,,,,,,,
2.622,-0.799483636,-0.826128203,-1.747161165,-15.85922976,-3.275506962,-1.25143496,-0.664551288,-0.573587386,-2.371406215,-0.725547718,-2.581203382,-2.412843332,-2.572579183,-2.460277448,-1.747988979,,,,,,,,,,,,,,,
2.623,-0.801228029,-0.827734533,-1.752317045,-15.97337346,-3.266324536,-1.250067196,-0.664229599,-0.573945048,-2.357223311,-0.725174394,-2.573620261,-2.418913946,-2.60949048,-2.492585131,-1.746681811,,,,,,,,,,,,,,,
2.624,-0.802979487,-0.829344887,-1.757496105,-16.08900519,-3.257184382,-1.248710469,-0.663908327,-0.574306186,-2.343346165,-0.724806488,-2.566105104,-2.424989689,-2.647065053,-2.525527649,-1.745460033,,,,,,,,,,,,,,,
2.625,-0.804738029,-0.830959291,-1.762698471,-16.20616127,-3.248086246,-1.247364727,-0.663587457,-0.574670828,-2.329767083,-0.72444401,-2.558657465,-2.431070444,-2.685309514,-2.559113457,-1.744326477,,,,,,,,,,,,,,,
2.626,-0.806503675,-0.83257777,-1.767924267,-16.32487937,-3.23902988,-1.246029921,-0.663266973,-0.575039,-2.316478586,-0.724086973,-2.551276896,-2.437156089,-2.724230149,-2.59335084,-1.74328395,,,,,,,,,,,,,,,
2.627,-0.808276443,-0.83420035,-1.773173623,-16.44519856,-3.230015036,-1.244706001,-0.662946861,-0.57541073,-2.303473406,-0.723735389,-2.543962948,-2.443246506,-2.763832887,-2.628247887,-1.742335228,,,,,,,,,,,,,,,
2.628,-0.810056354,-0.835827057,-1.778446663,-16.5671594,-3.221041472,-1.243392915,-0.662627105,-0.575786047,-2.290744475,-0.723389274,-2.536715172,-2.449341575,-2.804123264,-2.663812464,-1.741483062,,,,,,,,,,,,,,,
2.629,-0.811843426,-0.837457917,-1.783743517,-16.69080401,-3.212108947,-1.242090612,-0.66230769,-0.576164977,-2.278284922,-0.723048642,-2.529533117,-2.455441174,-2.84510639,-2.700052186,-1.740730181,,,,,,,,,,,,,,,
2.63,-0.813637679,-0.839092957,-1.789064312,-16.81617609,-3.203217224,-1.240799043,-0.6619886,-0.57654755,-2.266088066,-0.722713511,-2.522416331,-2.461545184,-2.886786914,-2.736974394,-1.74007929,,,,,,,,,,,,,,,
2.631,-0.815439133,-0.840732203,-1.794409177,-16.9433211,-3.194366068,-1.239518156,-0.661669822,-0.576933793,-2.25414741,-0.722383899,-2.515364363,-2.467653483,-2.929168981,-2.774586117,-1.739533077,,,,,,,,,,,,,,,
2.632,-0.817247807,-0.842375684,-1.799778242,-17.07228624,-3.185555248,-1.238247901,-0.66135134,-0.577323736,-2.242456633,-0.722059825,-2.50837676,-2.47376595,-2.972256197,-2.812894043,-1.739094213,,,,,,,,,,,,,,,
2.633,-0.81906372,-0.844023425,-1.805171636,-17.20312063,-3.176784535,-1.236988226,-0.66103314,-0.577717408,-2.23100959,-0.721741311,-2.501453071,-2.479882464,-3.016051581,-2.851904486,-1.738765354,,,,,,,,,,,,,,,
2.634,-0.820886892,-0.845675455,-1.810589489,-17.33587534,-3.168053703,-1.235739081,-0.660715205,-0.578114838,-2.219800301,-0.721428378,-2.494592846,-2.486002903,-3.060557527,-2.891623348,-1.738549143,,,,,,,,,,,,,,,
2.635,-0.822717343,-0.847331802,-1.816031933,-17.47060352,-3.15936253,-1.234500414,-0.660397523,-0.578516056,-2.208822949,-0.721121049,-2.487795632,-2.492127145,-3.105775754,-2.932056083,-1.738448217,,,,,,,,,,,,,,,
2.636,-0.824555092,-0.848992494,-1.821499098,-17.6073605,-3.150710794,-1.233272175,-0.660080079,-0.578921092,-2.198071874,-0.72081935,-2.481060981,-2.498255068,-3.15170726,-2.973207654,-1.738465202,,,,,,,,,,,,,,,
2.637,-0.826400158,-0.85065756,-1.826991117,-17.7462039,-3.142098279,-1.232054311,-0.659762857,-0.579329976,-2.187541568,-0.720523306,-2.474388443,-2.504386549,-3.198352274,-3.015082495,-1.738602722,,,,,,,,,,,,,,,
2.638,-0.828252562,-0.852327027,-1.832508122,-17.88719378,-3.13352477,-1.230846773,-0.659445844,-0.57974274,-2.177226673,-0.720232944,-2.46777757,-2.510521465,-3.245710202,-3.057684463,-1.7388634,,,,,,,,,,,,,,,
2.639,-0.830112323,-0.854000925,-1.838050245,-18.03039269,-3.124990056,-1.229649507,-0.659129025,-0.580159413,-2.16712197,-0.719948294,-2.461227916,-2.516659692,-3.293779575,-3.101016796,-1.739249858,,,,,,,,,,,,,,,
2.64,-0.831979461,-0.855679284,-1.843617621,-18.17586588,-3.116493927,-1.228462465,-0.658812386,-0.580580027,-2.157222383,-0.719669385,-2.454739037,-2.522801108,-3.342557993,-3.145082059,-1.739764724,,,,,,,,,,,,,,,
2.641,-0.833853995,-0.857362133,-1.849210384,-18.32368141,-3.108036177,-1.227285592,-0.658495913,-0.581004614,-2.147522968,-0.719396249,-2.448310488,-2.528945588,-3.39204207,-3.189882101,-1.74041063,,,,,,,,,,,,,,,
2.642,-0.835735946,-0.859049501,-1.854828666,-18.4739103,-3.099616603,-1.22611884,-0.658179592,-0.581433205,-2.138018914,-0.719128919,-2.44194183,-2.535093008,-3.442227375,-3.235417995,-1.741190219,,,,,,,,,,,,,,,
