Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.049,,,,,,,,,,,,,,,,-0.0017994,-0.001484675,-0.002780383,-0.001696897,-0.001307208,-0.002484684,-0.003184335,-0.002733175,-0.003095912,-0.003861717,-0.004353769,-0.003925305,-0.005006148,-0.005029808,-0.006844476
0.05,,,,,,,,,,,,,,,,-0.001787232,-0.001469014,-0.002784646,-0.001679209,-0.001286871,-0.002482444,-0.00319141,-0.00273485,-0.003104567,-0.003880425,-0.004390416,-0.003964399,-0.005075941,-0.005118541,-0.007019148
0.051,,,,,,,,,,,,,,,,-0.001780399,-0.001458839,-0.002794239,-0.001667325,-0.001272237,-0.002485558,-0.003203857,-0.002741946,-0.003118742,-0.003904835,-0.004433041,-0.00400967,-0.005152682,-0.005214666,-0.007203475
0.052,,,,,,,,,,,,,,,,-0.001778715,-0.001453961,-0.002808981,-0.001661036,-0.001263113,-0.002493844,-0.003221493,-0.002754286,-0.003138264,-0.003934766,-0.004481476,-0.004060959,-0.005236197,-0.00531802,-0.007397265
0.053,,,,,,,,,,,,,,,,-0.001781976,-0.001454175,-0.002828674,-0.001660116,-0.001259291,-0.002507104,-0.00324412,-0.002771677,-0.003162947,-0.003970016,-0.004535531,-0.00411809,-0.005326299,-0.005428424,-0.00760032
0.054,,,,,,,,,,,,,,,,-0.001789968,-0.001459265,-0.002853105,-0.001664325,-0.001260548,-0.002525126,-0.003271523,-0.002793913,-0.003192586,-0.004010371,-0.004595006,-0.004180873,-0.005422783,-0.005545686,-0.007812429
0.055,,,,,,,,,,,,,,,,-0.001802463,-0.001469002,-0.002882054,-0.001673412,-0.001266651,-0.002547687,-0.003303477,-0.002820775,-0.003226966,-0.004055601,-0.004659686,-0.004249106,-0.005525434,-0.005669605,-0.008033378
0.056,,,,,,,,,,,,,,,,-0.001819229,-0.00148315,-0.00291529,-0.001687119,-0.001277359,-0.002574556,-0.003339747,-0.002852036,-0.003265865,-0.004105472,-0.004729347,-0.004322577,-0.00563403,-0.00579997,-0.00826295
0.057,,,,,,,,,,,,,,,,-0.001840025,-0.001501469,-0.002952577,-0.001705183,-0.001292428,-0.002605497,-0.003380093,-0.002887463,-0.003309052,-0.004159739,-0.004803759,-0.004401068,-0.005748341,-0.005936569,-0.008500929
0.058,,,,,,,,,,,,,,,,-0.001864609,-0.001523716,-0.002993675,-0.001727337,-0.001311607,-0.002640268,-0.003424272,-0.002926819,-0.003356293,-0.004218156,-0.004882687,-0.004484357,-0.005868134,-0.006079183,-0.008747099
